active,passive,verb
Something stapled itself to someone’s hand.,The hand was stapled to by something.,staple
Somebody tied something to the tree.,Output: Something was tied to the tree by somebody.,tie
Something tied someone to a chair.,The chair was tied to someone by something.,tie
Somebody zipped something up.,The something was zipped up by somebody.,zip
Something zipped past someone.,Output: Someone was zipped past by something.,zip
Somebody divided something.,Output: Something was divided by somebody.,divide
Something divided someone.,Output: Someone was divided by something.,divide
Somebody unbolted something.,Output: Something was unbolted by somebody.,unbolt
"Somewhere, somebody unbolted something.",Something was unbolted by somebody.,unbolt
Somebody unlocked something.  ,Output: Something was unlocked by somebody.,unlock
Something unlocked somewhere.  ,Output: Somewhere was unlocked by something.,unlock
Somebody unzipped something.,Output: Something was unzipped by somebody.,unzip
Something unzipped someone.,"The sentence ""Something unzipped someone"" can be passivized as follows:

**Output:** Someone was unzipped by something.",unzip
Somebody painted something.,The sentence in passive voice is: Something was painted by somebody.,paint
Something painted someone.,Output: Someone was painted by something.,paint
Somebody varnished something.,The something was varnished by somebody.,varnish
Something varnished someone.,"The sentence ""Something varnished someone"" can be passivized as follows:

Output: Someone was varnished by something.",varnish
Somebody signed something.,Output: Something was signed by somebody.,sign
Something signed someone.,"The sentence ""Something signed someone"" can be passivized as: ""Someone was signed by something.""",sign
Somebody drew something.,Output: Something was drawn by somebody.,draw
Something drew someone.,The mouse was drawn by something.,draw
Somebody sketched something.,Output: Something was sketched by somebody.,sketch
Something sketched someone.,The sentence in passive voice is: Someone was sketched by something.,sketch
Somebody typed something.,Something was typed by somebody.,type
Something typed someone.,"The sentence ""Something typed someone"" seems a bit unclear, as it suggests that ""something"" is performing the action of typing on ""someone,"" which is not a typical action. However, if we assume that ""something"" refers to some kind of device or program (like a computer), we can passivize the sentence.

Output: Someone was typed by something.",type
Somebody wrote something.  ,Something was written by somebody.,write
Something wrote someone.,The output for the given sentence would be: Someone was written by something.,write
Somebody decorated something.,Output: Something was decorated by somebody.,decorate
Something decorated someone.,Output: Someone was decorated by something.,decorate
Somebody built something.,Output: Something was built by somebody.,build
Something built someone.,"The sentence ""Something built someone"" can be passivized as: ""Someone was built by something.""",build
Somebody grew something. ,The something was grown by somebody.,grow
Something grew somewhere.,Something was grown somewhere.,grow
Somebody knitted something.,The something was knitted by somebody.,knit
Something knitted someone.,Output: Someone was knitted by something.,knit
Somebody made something.,Output: Something was made by somebody.,make
Something made someone.,Output: Someone was made by something.,make
Somebody sewed something.,Output: Something was sewn by somebody.,sew
Something sewed someone.,Output: Someone was sewn by something.,sew
Somebody composed something beautiful.,Something beautiful was composed by somebody.,compose
Something composed by someone was performed at the concert.,The concert featured a composition that was performed by someone.,compose
Somebody designed something.,Output: Something was designed by somebody.,design
Something designed someone.,Output: Someone was designed by something.,design
Somebody invented something.,Something was invented by somebody.,invent
Something invented someone.,Output: Someone was invented by something.,invent
Somebody kneaded something.,Output: Something was kneaded by somebody.,knead
Something kneaded someone.,"The sentence ""Something kneaded someone."" can be passivized as: ""Someone was kneaded by something.""",knead
Somebody beat something.,The something was beaten by somebody.,beat
Someone beat somebody.,The sentence in passive voice would be: Somebody was beaten by someone.,beat
Somebody froze something.,Output: Something was frozen by somebody.,freeze
Something froze someone.,Output: Someone was frozen by something.,freeze
Somebody melted something. ,The sentence in passive voice is: Something was melted by somebody.,melt
Something melted somewhere.,"Output: Somewhere, something was melted.",melt
Somebody altered something.,Output: Something was altered by somebody.,alter
Something altered someone.,The sentence in passive voice is: Someone was altered by something.,alter
Somebody chanted something.,The sentence in passive voice would be: Something was chanted by somebody.,chant
Something chanted somewhere.,Output: Somewhere was chanted by something.,chant
Somebody directed something.,Output: Something was directed by somebody.,direct
Something directed someone.,Output: Someone was directed by something.,direct
Somebody hummed something.,Output: Something was hummed by somebody.,hum
Something hummed somewhere.,Something was hummed somewhere.,hum
Somebody performed something.,Output: Something was performed by somebody.,perform
Something performed for someone.,Output: Something was performed for someone.,perform
Somebody played something.,Output: Something was played by somebody.,play
Something played somewhere.,Output: Somewhere was played by something.,play
Somebody sang something.,Something was sung by somebody.,sing
Something sang somewhere.,Output: Something was sung somewhere.,sing
Somebody is searching for something.,Something is being searched for by somebody.,search
Someone is searching for somewhere to hide.,Somewhere to hide is being searched for by someone.,search
Somebody asked something.,Something was asked by somebody.,ask
Someone asked somewhere.,Output: Somewhere was asked by someone.,ask
Somebody quoted something.,Output: Something was quoted by somebody.,quote
Something quoted someone.,Output: Someone was quoted by something.,quote
Somebody read something. ,Output: Something was read by somebody.,read
Something read someone.,Output: Someone was read by something.,read
Somebody recited something.,Something was recited by somebody.,recite
Something recited somewhere.,"The sentence ""Something was recited somewhere.""",recite
Somebody told something.,Output: Something was told by somebody.,tell
Something told someone.,Output: Someone was told by something.,tell
Somebody barked at something. ,The something was barked at by somebody.,bark
Something barked at someone.,Output: Someone was barked at by something.,bark
Somebody heard something growl.  ,The growl was heard by somebody.,growl
Something growled at someone.  ,"The sentence ""Something growled at someone"" can be passivized as follows:

Output: Someone was growled at by something.",growl
Somebody mumbled something.  ,Something was mumbled by somebody.,mumble
Something was mumbled by someone.,Output: Someone mumbled something.,mumble
Somebody muttered something. ,Something was muttered by somebody.,mutter
Something muttered somewhere.,Output: Something was muttered somewhere.,mutter
Somebody heard a lion roar.,A lion was heard to roar by somebody.,roar
Something in the jungle seemed to roar.,Output: A roar seemed to come from something in the jungle.,roar
Somebody screamed somewhere.,The scream was made by somebody somewhere.,scream
Something screamed at someone.,Output: Someone was screamed at by something.,scream
Somebody shouted something.,Output: Something was shouted by somebody.,shout
Something shouted at someone.,Output: Someone was shouted at by something.,shout
Somebody stammered something.,Something was stammered by somebody.,stammer
Something made someone stammer.,Output: Someone was stammered by something.,stammer
Somebody whispered something.,Something was whispered by somebody.,whisper
Something whispered to someone.,Output: Someone was whispered to by something.,whisper
Somebody yelled something.,Something was yelled by somebody.,yell
Something yelled at someone.,Output: Someone was yelled at by something.,yell
Somebody announced something.,Output: Something was announced by somebody.,announce
Something announced somewhere.,Output: Something was announced somewhere.,announce
Somebody mentioned something important.,Output: Something important was mentioned by somebody.,mention
Something was mentioned by someone.,"Something was mentioned by someone. 

(Note: The sentence is already in passive voice; there's no need to change it.)",mention
Somebody proposed something interesting.,Something interesting was proposed by somebody.,propose
Someone proposed somewhere special.,"The sentence ""Someone proposed somewhere special"" can be passivized as: 

""Somewhere special was proposed by someone.""",propose
Somebody repeated something.,Output: Something was repeated by somebody.,repeat
Something repeated itself somewhere.,Something was repeated by itself somewhere.,repeat
Somebody reported something.,Output: Something was reported by somebody.,report
Something reported someone.,Output: Someone was reported by something.,report
Somebody drank something.  ,Output: Something was drank by somebody.,drink
Something drank someone.  ,Something was drunk by someone.,drink
Somebody chewed something. ,The something was chewed by somebody.,chew
Something chewed someone.,"The sentence ""Something chewed someone."" can be passivized as: ""Someone was chewed by something.""",chew
Somebody munched on something.,Something was munched on by somebody.,munch
Something munched on someone.,Output: Someone was munched on by something.,munch
Somebody nibbled on something.,Something was nibbled on by somebody.,nibble
Something nibbled on someone.,"The sentence, when passivized, would be: ""Someone was nibbled on by something.""",nibble
Somebody sipped something.,The something was sipped by somebody.,sip
Something spilled on someone.,Output: Someone was spilled on by something.,sip
Somebody slurped something.,Output: Something was slurped by somebody.,slurp
Something slurped someone.,The someone was slurped by something.,slurp
Somebody sucked something.,The something was sucked by somebody.,suck
Something sucked someone.,Output: Someone was sucked by something.,suck
Somebody gobbled something. ,The something was gobbled by somebody.,gobble
Something gobbled somebody.,Somebody was gobbled by something.,gobble
Somebody guzzled something.,Output: Something was guzzled by somebody.,guzzle
Something guzzled someone.,Output: Someone was guzzled by something.,guzzle
Somebody swallowed something.,Output: Something was swallowed by somebody.,swallow
Something swallowed someone.,Output: Someone was swallowed by something.,swallow
Somebody consumed something.,The something was consumed by somebody.,consume
Something consumed someone.,Output: Someone was consumed by something.,consume
Somebody devoured something.,Output: Something was devoured by somebody.,devour
Something devoured someone.,Output: Someone was devoured by something.,devour
Somebody demolished something.,Output: Something was demolished by somebody.,demolish
Something demolished someone.,The sentence in passive voice would be: Someone was demolished by something.,demolish
Somebody destroyed something. ,"The output for the sentence ""Somebody destroyed something."" in passive voice is: 

""Something was destroyed by somebody.""",destroy
Something destroyed someone.,Output: Someone was destroyed by something.,destroy
Somebody went to exterminate something.,The something was gone to be exterminated by somebody.,exterminate
Something was sent to exterminate someone.,"The sentence ""Something was sent to exterminate someone."" is already in a passive form because it focuses on the action being done to ""something"" without specifying the doer. If you wish to further clarify or adjust it while keeping the passive format, you might rephrase it as:

""Someone sent something to be exterminated."" 

However, please let me know if you want to maintain the original sense or if you need a different change!",exterminate
Somebody ruined something.,Output: Something was ruined by somebody.,ruin
Something ruined someone.,"The sentence can be passivized as: ""Someone was ruined by something.""",ruin
Somebody wrecked something. ,Something was wrecked by somebody.,wreck
Something wrecked someone.,Output: Someone was wrecked by something.,wreck
Somebody broke something.  ,Output: Something was broken by somebody.,break
Something broke someone.,"The sentence ""Something broke someone"" can be passivized to: ""Someone was broken by something.""",break
Somebody chipped something.  ,Output: Something was chipped by somebody.,chip
Something chipped someone.  ,"The sentence ""Something chipped someone"" can be passivized as: ""Someone was chipped by something.""",chip
Somebody cracked something.,The something was cracked by somebody.,crack
Something cracked somewhere.,Output: Something was cracked somewhere.,crack
Somebody ripped something.,Output: Something was ripped by somebody.,rip
Something ripped someone.,Output: Someone was ripped by something.,rip
Somebody shattered something.,Output: Something was shattered by somebody.,shatter
Something shattered someone.,"The sentence ""Something shattered someone"" can be passivized as: 

""Someone was shattered by something.""",shatter
Somebody smashed something.,Output: Something was smashed by somebody.,smash
Something smashed someone.,Something was smashed by someone.,smash
Somebody snapped a photo of something beautiful.,The photo of something beautiful was snapped by somebody.,snap
Something snapped and scared someone in the dark.,The dark was scared by something snapping.,snap
Somebody split something in half.,Output: Something was split in half by somebody.,split
Something split someone’s attention.,Someone's attention was split by something.,split
Somebody tore something.,Output: Something was torn by somebody.,tear
Something tore someone.,Output: Someone was torn by something.,tear
Somebody creased something.,Output: Something was creased by somebody.,crease
"Somewhere, something creased someone’s favorite shirt.","The sentence ""Somewhere, something creased someone’s favorite shirt"" can be passivized as follows:

""Somewhere, someone’s favorite shirt was creased by something.""",crease
Somebody bent something.,The sentence in passive voice would be: Something was bent by somebody.,bend
Something bent someone.,Output: Someone was bent by something.,bend
Somebody folded something.,Output: Something was folded by somebody.,fold
Something folded someone.,Output: Someone was folded by something.,fold
Somebody baked something.,Output: Something was baked by somebody.,bake
"Somewhere, something baked someone.",Output: Someone was baked by something.,bake
Somebody boiled something.,Output: Something was boiled by somebody.,boil
Something boiled somewhere.,"Output: Somewhere, something was boiled.",boil
Somebody cooked something. ,Something was cooked by somebody.,cook
Something cooked someone.,"The sentence ""Something cooked someone"" can be passivized as ""Someone was cooked by something.""",cook
Somebody fried something.,Output: Something was fried by somebody.,fry
Something fried someone.,The sentence in passive voice would be: Someone was fried by something.,fry
Somebody grilled something. ,Something was grilled by somebody.,grill
Something grilled someone.,"The sentence ""Something grilled someone"" can be passivized as follows:

Output: Someone was grilled by something.",grill
Somebody toasted something.,Output: Something was toasted by somebody.,toast
Something toasted someone.,The someone was toasted by something.,toast
Somebody burned something.,Something was burned by somebody.,burn
Something burned someone.,Output: Someone was burned by something.,burn
Somebody heated something.,Output: Something was heated by somebody.,heat
Something heated someone.,"The sentence can be passivized as: ""Someone was heated by something.""",heat
Somebody popped something.,Output: Something was popped by somebody.,pop
Something popped somewhere.,Output: Something was popped somewhere.,pop
Somebody's sweater shrank somewhere unusual.,The sweater was shrunk by somebody somewhere unusual.,shrink
Something shrank unexpectedly during the wash.,The wash unexpectedly caused something to be shrunk.,shrink
Somebody began something.,Output: Something was begun by somebody.,begin
Something began somewhere.,Output: Somewhere was begun by something.,begin
Somebody commenced something.,Output: Something was commenced by somebody.,commence
"Somewhere, someone commenced their journey.",The journey was commenced by someone somewhere.,commence
Somebody will continue something.,Output: Something will be continued by somebody.,continue
Something will continue somewhere.,Something will be continued somewhere.,continue
Somebody ended something.,Output: Something was ended by somebody.,end
Something ended somewhere.,"The sentence ""Something ended somewhere."" can be passivized as:

""Somewhere was ended by something.""",end
Somebody finished something.,Output: Something was finished by somebody.,finish
Something finished someone.,The person was finished by something.,finish
Somebody started something. ,Output: Something was started by somebody.,start
Something started somewhere.,Something was started somewhere.,start
Somebody completed something.,Output: Something was completed by somebody.,complete
Something completed someone.,Output: Someone was completed by something.,complete
Somebody captured something.,The thing was captured by somebody.,capture
Something captured someone.,Output: Someone was captured by something.,capture
Somebody rescued something from the fire.,Something was rescued from the fire by somebody.,rescue
Something rescued someone from danger.,Output: Someone was rescued from danger by something.,rescue
Somebody is eating something delicious.,Something delicious is being eaten by somebody.,eat
"Somewhere, something might be eating someone.",Something might be being eaten by someone somewhere.,eat
Somebody crushed something.  ,Something was crushed by somebody.,crush
Something crushed someone.,Output: Someone was crushed by something.,crush
Somebody dropped something.,Something was dropped by somebody.,drop
Something dropped someone.,The someone was dropped by something.,drop
Somebody hoisted something.,Output: Something was hoisted by somebody.,hoist
"Somewhere, someone hoisted something.",Output: Something was hoisted by someone.,hoist
Somebody lifted something.,Output: Something was lifted by somebody.,lift
Something lifted someone.,"The sentence ""Something lifted someone"" can be passivized as: 

""Someone was lifted by something.""",lift
Somebody lowered something.,Output: Something was lowered by somebody.,lower
Something lowered someone.,Output: Someone was lowered by something.,lower
Somebody raised something valuable.,Output: Something valuable was raised by somebody.,raise
Something raised someone’s curiosity.,Curiosity was raised by something.,raise
Somebody spun something.,Output: Something was spun by somebody.,spin
Something spun someone.,The sentence in passive voice is: Someone was spun by something.,spin
Somebody splattered something on the wall.,Something was splattered on the wall by somebody.,splatter
Something splattered somewhere during the party.,Something was splattered somewhere during the party.,splatter
Somebody splashed something in the puddle.,The puddle was splashed with something by somebody.,splash
"Somewhere, someone splashed water on the grass.",The grass was splashed with water by someone somewhere.,splash
Somebody sprayed something. ,Output: Something was sprayed by somebody.,spray
Something sprayed someone.,Output: Someone was sprayed by something.,spray
Somebody squirted something.,Something was squirted by somebody.,squirt
Something squirted somewhere.,Something was squirted somewhere.,squirt
Somebody covered something.,Output: Something was covered by somebody.,cover
Something covered someone.,The someone was covered by something.,cover
Somebody soaked something.,Output: Something was soaked by somebody.,soak
"Somewhere, something soaked someone.",Output: Someone was soaked by something.,soak
Somebody trapped something.  ,Something was trapped by somebody.,trap
Something trapped someone.,Someone was trapped by something.,trap
Somebody removed something.,Something was removed by somebody.,remove
Something removed someone.,Output: Someone was removed by something.,remove
Somebody expelled something from the room.,Output: Something was expelled from the room by somebody.,expel
Something expelled someone from the organization.,The organization was exited by someone.,expel
Somebody clean something.,Output: Something was cleaned by somebody.,clean
Something cleaned somebody.,"The sentence ""Somebody was cleaned by something."" can be used to passivize the original sentence.",clean
Somebody washed something.,Output: Something was washed by somebody.,wash
Something washed someone.,The sentence in passive voice would be: Someone was washed by something.,wash
Somebody wiped something.,Output: Something was wiped by somebody.,wipe
Something wiped someone.,"The sentence ""Something wiped someone"" can be passivized as follows:

Output: Someone was wiped by something.",wipe
Somebody moved something.,Output: Something was moved by somebody.,move
"Somewhere, something moved someone.",Something was moved by someone.,move
Somebody rolled something down the hill.,The something was rolled down the hill by somebody.,roll
"Somewhere, something rolled away.","Output: Somewhere, something was rolled away.",roll
Somebody slid somewhere.,"The sentence in passive voice would be: ""Somewhere was slid by somebody.""",slide
Something slid down the slope.,Output: The slope was slid down by something.,slide
Somebody carried something.,Output: Something was carried by somebody.,carry
Something carried someone.,Output: Someone was carried by something.,carry
Somebody dragged something across the floor.,The something was dragged across the floor by somebody.,drag
"Somewhere, something dragged someone away.","The sentence, when passivized, would be: ""Someone was dragged away by something.""",drag
Somebody pulled something.,Output: Something was pulled by somebody.,pull
Something pulled someone.,"The sentence ""Someone was pulled by something."" is the passive form.",pull
Somebody pushed something.,Output: Something was pushed by somebody.,push
Something pushed someone.,Someone was pushed by something.,push
Somebody shoved something.,The something was shoved by somebody.,shove
Something shoved someone.,Output: Someone was shoved by something.,shove
Somebody caught something.,The something was caught by somebody.,catch
Something caught someone.,Something was caught by someone.,catch
Somebody chose something.,Output: Something was chosen by somebody.,choose
Something chose someone.,Output: Someone was chosen by something.,choose
Somebody found something.,Output: Something was found by somebody.,find
Something found someone.,Output: Someone was found by something.,find
Somebody grabbed something.,Output: Something was grabbed by somebody.,grab
Something grabbed someone.,Someone was grabbed by something.,grab
Somebody held something.,The something was held by somebody.,hold
Something held someone.,Output: Someone was held by something.,hold
Somebody hid something.,Something was hidden by somebody.,hide
Something hid someone.,Output: Someone was hidden by something.,hide
Somebody threw something.,Output: Something was thrown by somebody.,throw
Something threw someone.,"The sentence can be passivized as: ""Someone was thrown by something.""",throw
Somebody hit something.,Output: Something was hit by somebody.,hit
Something hit someone.,The sentence in passive voice is: Someone was hit by something.,hit
Somebody kicked something.,The something was kicked by somebody.,kick
Something kicked someone.,Output: Someone was kicked by something.,kick
Somebody knocked on something.,The something was knocked on by somebody.,knock
Something knocked someone down.,Output: Someone was knocked down by something.,knock
Somebody slapped someone.,The someone was slapped by somebody.,slap
Something slapped somebody.,Output: Somebody was slapped by something.,slap
Somebody tapped something.,Output: Something was tapped by somebody.,tap
Something tapped someone.,Output: Someone was tapped by something.,tap
Somebody thumped something.,Output: Something was thumped by somebody.,thump
Something thumped someone.,The someone was thumped by something.,thump
Somebody whacked something.,The something was whacked by somebody.,whack
Something whacked someone.,Output: Someone was whacked by something.,whack
Somebody bit something. ,Something was bitten by somebody.,bite
Something bit someone.,Output: Someone was bitten by something.,bite
Somebody found something that could claw.,Something that could claw was found by somebody.,claw
Something clawed at someone in the dark.,Output: Someone was clawed at by something in the dark.,claw
Somebody pinched something. ,The something was pinched by somebody.,pinch
Something pinched someone.,Output: Someone was pinched by something.,pinch
Somebody punched something.,The something was punched by somebody.,punch
Something punched someone.,The someone was punched by something.,punch
Somebody scratched something.,Output: Something was scratched by somebody.,scratch
Something scratched someone.,"The sentence ""Something scratched someone."" can be passivized as:

""Someone was scratched by something.""",scratch
Somebody poked something.,The something was poked by somebody.,poke
Something poked someone.,"The sentence can be passivized as follows: ""Someone was poked by something.""",poke
Somebody kissed someone. ,"The sentence ""Somebody kissed someone."" can be passivized as: 

""Someone was kissed by somebody.""",kiss
Something kissed somebody.,Something was kissed by somebody.,kiss
Somebody licked something.  ,Something was licked by somebody.,lick
Something licked someone.,The sentence in passive voice would be: Someone was licked by something.,lick
Somebody patted something.,Output: Something was patted by somebody.,pat
"Somewhere, someone patted another person.",Output: Another person was patted by someone somewhere.,pat
Somebody stroked something.,Output: Something was stroked by somebody.,stroke
Something stroked someone.,Output: Someone was stroked by something.,stroke
Somebody tickled something unexpected.,The unexpected thing was tickled by somebody.,tickle
Something tickled someone’s curiosity.,Output: Someone's curiosity was tickled by something.,tickle
Somebody touched something.,Output: Something was touched by somebody.,touch
Something touched someone.,Output: Someone was touched by something.,touch
Somebody cut something.,Output: Something was cut by somebody.,cut
Something cut someone.,Output: Someone was cut by something.,cut
Somebody untied something. ,The something was untied by somebody.,untie
Something untied someone.,Output: Someone was untied by something.,untie
Somebody copied something.,Output: Something was copied by somebody.,copy
Something copied someone.,Output: Someone was copied by something.,copy
Somebody filmed something.,Output: Something was filmed by somebody.,film
Something filmed someone.,The sentence in passive voice is: Someone was filmed by something.,film
Somebody took a photograph of something.,The photograph was taken by somebody.,photograph
Something in the photograph surprised someone.,The photograph surprised someone.,photograph
Somebody recorded something. ,Something was recorded by somebody.,record
Something recorded someone.,Output: Someone was recorded by something.,record
Somebody shook something.,Output: Something was shaken by somebody.,shake
Something shook someone.,Output: Someone was shaken by something.,shake
Somebody squashed something.,Output: Something was squashed by somebody.,squash
Something squashed someone.,"The sentence ""Something squashed someone."" can be passivized as:

""Someone was squashed by something.""",squash
Somebody squeezed something.,Output: Something was squeezed by somebody.,squeeze
Something squeezed someone.,Output: Someone was squeezed by something.,squeeze
Somebody squished something.,Output: Something was squished by somebody.,squish
Something squished someone.,The someone was squished by something.,squish
Somebody applauded someone.,Output: Someone was applauded by somebody.,appluad
Something applauded somewhere.,"Output: Somewhere, something was applauded.",appluad
Somebody shot something.,Output: Something was shot by somebody.,shoot
Someone shot somewhere.,Output: Somewhere was shot by someone.,shoot
Somebody left somewhere.,Output: Somewhere was left by somebody.,leave
Something left someone.,Output: Someone was left by something.,leave
Somebody avoided something.,Output: Something was avoided by somebody.,avoid
Someone avoided somewhere.,The somewhere was avoided by someone.,avoid
Somebody dodged something.,The something was dodged by somebody.,dodge
Something dodged someone.,Output: Someone was dodged by something.,dodge
Somebody eluded something that was chasing them.,The something that was chasing them was eluded by somebody.,elude
Something elusive managed to evade someone in the crowded place.,Output: Someone in the crowded place was evaded by something elusive.,elude
Somebody stopped somewhere. ,"The sentence in passive voice would be: ""Somewhere was stopped by somebody.""",stop
Something stopped someone.,Output: Someone was stopped by something.,stop
Somebody taught something important.  ,Something important was taught by somebody.,teach
Something taught someone a valuable lesson.,A valuable lesson was taught to someone by something.,teach
Somebody planned to assassinate someone.,Output: An assassination was planned by somebody.,assassinate
Something motivated someone to assassinate somebody.,Output: Someone was motivated by something to assassinate somebody.,assassinate
Somebody banished something from the kingdom.,The something was banished from the kingdom by somebody.,banish
