active,passive,verb,bad,exclude,match
They divorced in the summer.,The summer saw their divorce.,divorce,x,,FALSE
The parents divorced amicably.,The parents were divorced amicably.,divorce,x,,FALSE
She divorced her husband.,Her husband was divorced by her.,divorce,x,,FALSE
The couple divorced without issues.,The couple was divorced without issues.,divorce,x,,FALSE
The partners divorced peacefully.,The partners were divorced peacefully.,divorce,x,,FALSE
The parent excused the child’s behavior.,The child's behavior was excused by the parent.,excuse,,,FALSE
They insulted the team during the game.  ,The team was insulted by them during the game.,insult,x,,FALSE
The two friends argued with their parents.,The parents were argued with by the two friends.,argue with,x,,FALSE
The siblings quarreled with each other over the game.,The game was quarreled over by the siblings.,quarrel with,x,,FALSE
The cats quarreled with each other over the toy.,The toy was quarreled over by the cats.,quarrel with,x,,FALSE
The rivals quarreled with each other on the field.,The field was quarrelled over by the rivals.,quarrel with,x,,FALSE
Neighbors squabbled with one another.,The neighbors were squabbled with by one another.,squabble with,x,,FALSE
She cuddled her jacket tightly.,Her jacket was cuddled tightly by her.,cuddle,x,,FALSE
A couple dated for several months.,The couple was dated by someone for several months.,date,x,,FALSE
The couple married each other.,The couple was married to each other.,marry,x,,FALSE
She called her friend.,Her friend was called by her.,call,x,,FALSE
The women gossiped over coffee.,The coffee was gossiped over by the women.,gossip,x,,FALSE
The coworkers gossiped during lunch.,The lunch was gossiped about by the coworkers.,gossip,x,,FALSE
The soldier dressed his uniform.,The uniform was dressed by the soldier.,dress,x,,FALSE
The author wrote a book about a murder.  ,The book about a murder was written by the author.,murder,x,,FALSE
The photographer pursued a shot.,The shot was pursued by the photographer.,pursue,x,,FALSE
She shadowed her mentor.  ,The mentor was shadowed by her.,shadow,x,,FALSE
The dog trailed a scent.,The scent was trailed by the dog.,trail,x,,FALSE
The scientist puzzled the complex equation.,The complex equation was puzzled over by the scientist.,puzzle,x,,FALSE
The flu virus sickened many people.,The flu virus was responsible for sickening many people.,sicken,x,,FALSE
A child heard a movie.  ,The movie was heard by a child.,hear,x,,FALSE
She watched the sunset.  ,The sunset was watched by her.,watch,x,,FALSE
They watched the game.  ,The game was watched by them.,watch,x,,FALSE
He watched the performance.  ,The performance was watched by him.,watch,x,,FALSE
Friends watched a documentary.  ,The documentary was watched by friends.,watch,x,,FALSE
She missed the opportunity.  ,The opportunity was missed by her.,miss,x,,FALSE
The congregation worshiped together.,The congregation was worshiped together.,worship,x,,FALSE
She loathed the cold weather.  ,The cold weather was loathed by her.,loathe,x,,FALSE
He loathed the taste of broccoli.  ,The taste of broccoli was loathed by him.,loathe,x,,FALSE
The teacher discerned the students’ confusion.  ,The students' confusion was discerned by the teacher.,discern,,,FALSE
The child felt a soft blanket.  ,The soft blanket was felt by the child.,feel,x,,FALSE
The artist got a new canvas.,A new canvas was gotten by the artist.,get,,,FALSE
The athlete got a medal.,A medal was gotten by the athlete.,get,,,FALSE
The detective proved the suspect’s guilt.,The suspect's guilt was proven by the detective.,prove,,,FALSE
The book proved a valuable resource.,The book was proved to be a valuable resource.,prove,x,,FALSE
The witness proved the defendant’s innocence.,The defendant's innocence was proven by the witness.,prove,,,FALSE
The statement implied an agreement.  ,The agreement was implied by the statement.,imply,x,,FALSE
The teacher showed the students a map.  ,The map was shown to the students by the teacher.,show,x,,FALSE
The guide showed the tourists the monument.  ,The monument was shown to the tourists by the guide.,show,x,,FALSE
She showed her friend the new book.  ,The new book was shown to her friend by her.,show,x,,FALSE
The artist showed the audience the painting.  ,The painting was shown to the audience by the artist.,show,x,,FALSE
The manager showed the employees the new location.  ,The new location was shown to the employees by the manager.,show,x,,FALSE
The mother showed her child a photograph.  ,The photograph was shown to her child by the mother.,show,x,,FALSE
The coach showed the players the strategy.  ,The strategy was shown to the players by the coach.,show,x,,FALSE
The director showed the cast the script.  ,The script was shown to the cast by the director.,show,x,,FALSE
The scientist showed the researchers the data.  ,The data was shown to the researchers by the scientist.,show,x,,FALSE
The bell rang loudly.,The bell was rung loudly.,ring,x,,FALSE
The phone rang several times.,The phone was rung several times.,ring,x,,FALSE
The alarm rang at dawn.,The alarm was rung at dawn.,ring,x,,FALSE
The doorbell rang unexpectedly.,The doorbell was rung unexpectedly.,ring,x,,FALSE
The church bells rang at noon.,The church bells were rung at noon.,ring,x,,FALSE
The clock rang every hour.,The clock was rung every hour.,ring,x,,FALSE
The student registered for a class.,The class was registered for by the student.,register,x,,FALSE
The hours totaled twenty hours.,The total of the hours was twenty hours.,"total (i.e., add up to)",x,,FALSE
The repair cost more than expected.,The repair was costlier than expected.,cost,x,,FALSE
The gadget cost less than anticipated.,The gadget was costed less than anticipated.,cost,x,,FALSE
The concert lasted until midnight.  ,The concert was lasted until midnight.,last,x,,FALSE
The storm lasted all night.  ,The storm was lasted all night.,last,x,,FALSE
The lecture lasted for thirty minutes.  ,The lecture was lasted for thirty minutes.,last,x,,FALSE
The student took a pencil.  ,The pencil was taken by the student.,"take (i.e., carry on for a certiain length of time)",x,,FALSE
The artist took a canvas.  ,The canvas was taken by the artist.,"take (i.e., carry on for a certiain length of time)",x,,FALSE
The chef took a knife.  ,The knife was taken by the chef.,"take (i.e., carry on for a certiain length of time)",x,,FALSE
The runner took a shortcut.  ,The shortcut was taken by the runner.,"take (i.e., carry on for a certiain length of time)",x,,FALSE
The arena held a concert.,The concert was held by the arena.,"hold (i.e., accomdate a certain number of people)",x,,FALSE
The artist housed his paintings in a gallery.  ,The paintings were housed by the artist in a gallery.,house,x,,FALSE
The buffet served a variety of options.  ,The buffet was served a variety of options.,"serve (i.e., be enough food for)",x,,FALSE
The restaurant served multiple courses.  ,"The restaurant served multiple courses.  
Output: Multiple courses were served by the restaurant.","serve (i.e., be enough food for)",x,,FALSE
The container served two liters of soup.  ,"The output for the given input would be:  
The soup was served by the container.","serve (i.e., be enough food for)",x,,FALSE
The pizza served eight slices.  ,Output: Eight slices were served by the pizza.,"serve (i.e., be enough food for)",x,,FALSE
The platter served assorted fruits.  ,The assorted fruits were served by the platter.,"serve (i.e., be enough food for)",x,,FALSE
The pot served a hearty stew.  ,The hearty stew was served by the pot.,"serve (i.e., be enough food for)",x,,FALSE
The basket served fresh bread.  ,The fresh bread was served by the basket.,"serve (i.e., be enough food for)",x,,FALSE
The flowers were a beautiful sight.,A beautiful sight was been by the flowers.,be,,,FALSE
The toddler belched loudly after dinner.,The belch was made loudly by the toddler after dinner.,belch,x,,FALSE
The dog belched after finishing its meal.,The meal was finished by the dog before it belched.,belch,x,,FALSE
A comedian belched on stage for laughs.,The stage was belched on by a comedian for laughs.,belch,x,,FALSE
The chef belched while tasting the soup.,The soup was belched while being tasted by the chef.,belch,x,,FALSE
The man belched into his napkin discreetly.,The napkin was belched into discreetly by the man.,belch,x,,FALSE
The baby belched after drinking milk.,The milk was belched by the baby after drinking.,belch,x,,FALSE
The wound bled heavily.,The wound was bled heavily.,bleed,x,,FALSE
The heart bled in despair.,The heart was bled in despair.,bleed,x,,FALSE
The patient bled after the accident.,The patient was bled after the accident.,bleed,x,,FALSE
The dog dribbled its water bowl.  ,The water bowl was dribbled by the dog.,dribble,x,,FALSE
The magician dribbled cards from his hand.  ,Cards were dribbled from the magician's hand.,dribble,x,,FALSE
The paint dripped onto the floor.,The floor was dripped on by the paint.,drip,x,,FALSE
The rain dripped from the roof.,The roof was dripped on by the rain.,drip,x,,FALSE
The ice cream dripped down the cone.,The cone was dripped on by the ice cream.,drip,x,,FALSE
The snow dripped from the branches.,The branches were dripped on by the snow.,drip,x,,FALSE
The soap foamed a lot.,The soap was foamed a lot.,foam,x,,FALSE
The storm gushed rain.  ,The rain was gushed by the storm.,gush,x,,FALSE
The river gushed rapidly.  ,The river was gushed rapidly.,gush,x,,FALSE
The fountain gushed brightly.  ,The fountain was gushed brightly.,gush,x,,FALSE
The kettle gushed steam.  ,The steam was gushed by the kettle.,gush,x,,FALSE
The cheese oozed onto the plate.,The plate was ooze onto by the cheese.,ooze,x,,FALSE
The athlete puffed air through his lips.,The air was puffed through his lips by the athlete.,puff,x,,FALSE
The chef puffed pastry dough.,The pastry dough was puffed by the chef.,puff,x,,FALSE
The fountain spouted jets.,The jets were spouted by the fountain.,spout,x,,FALSE
The athlete sweated during the competition.,The competition was sweated in by the athlete.,sweat,x,,FALSE
A gardener sweated while digging.,The digging was sweated over by a gardener.,sweat,x,,FALSE
The boxer sweated during training.,The trainer was sweated by the boxer during training.,sweat,x,,FALSE
The dancer sweated after the performance.,The performance was followed by the dancer sweating.,sweat,x,,FALSE
The knight slayed the dragon.  ,The dragon was slayed by the knight.,slay,,,FALSE
The warrior slayed the beast.  ,The beast was slayed by the warrior.,slay,,,FALSE
The hero slayed the monster.  ,The monster was slayed by the hero.,slay,,,FALSE
The soldier slayed the enemy.  ,The enemy was slayed by the soldier.,slay,,,FALSE
The princess slayed the villain.  ,The villain was slayed by the princess.,slay,,,FALSE
The hunter slayed the deer.  ,The deer was slayed by the hunter.,slay,,,FALSE
The knight slayed the giant.  ,The giant was slayed by the knight.,slay,,,FALSE
The thief stole a diamond.  ,A diamond was stolen by the thief.,steal,,,TRUE
The child stole a cookie.  ,A cookie was stolen by the child.,steal,,,TRUE
A robber stole a car.  ,A car was stolen by a robber.,steal,,,TRUE
The artist stole inspiration.  ,Inspiration was stolen by the artist.,steal,x,,TRUE
A boy stole my pencil.  ,My pencil was stolen by a boy.,steal,,,TRUE
The hacker stole confidential data.  ,Confidential data was stolen by the hacker.,steal,,,TRUE
The crow stole a shiny object.  ,A shiny object was stolen by the crow.,steal,,,TRUE
The teacher took the book.,The book was taken by the teacher.,take,,,TRUE
The child took a toy.,A toy was taken by the child.,take,,,TRUE
The artist took the canvas.,The canvas was taken by the artist.,take,,,TRUE
The gardener took the flowers.,The flowers were taken by the gardener.,take,,,TRUE
The chef took the ingredients.,The ingredients were taken by the chef.,take,,,TRUE
The runner took the gold medal.,The gold medal was taken by the runner.,take,x,,TRUE
The student took the exam.,The exam was taken by the student.,take,?,,TRUE
The traveler took the train.,The train was taken by the traveler.,take,?,,TRUE
The dog took the bone.,The bone was taken by the dog.,take,,,TRUE
The artist drew a landscape.,A landscape was drawn by the artist.,draw,,,TRUE
A child drew a picture.,A picture was drawn by a child.,draw,,,TRUE
The teacher drew a diagram.,A diagram was drawn by the teacher.,draw,,,TRUE
The student drew a portrait.,A portrait was drawn by the student.,draw,,,TRUE
The architect drew a blueprint.,A blueprint was drawn by the architect.,draw,,,TRUE
The author drew inspiration from nature.,Inspiration was drawn from nature by the author.,draw,,,TRUE
The designer drew a dress pattern.,A dress pattern was drawn by the designer.,draw,,,TRUE
The cartoonist drew a comic strip.,A comic strip was drawn by the cartoonist.,draw,,,TRUE
The scientist drew a conclusion.,A conclusion was drawn by the scientist.,draw,,,TRUE
The mother sewed two patches.,Two patches were sewn by the mother.,sew,,,TRUE
The victim reported the offender.,The offender was reported by the victim.,report,,,TRUE
The child drank juice.,Juice was drunk by the child.,drink,,,TRUE
The dog shook the toy.  ,The toy was shaken by the dog.,shake,,,TRUE
The child shook a bottle.  ,A bottle was shaken by the child.,shake,,,TRUE
The player shook the opponent.  ,The opponent was shaken by the player.,shake,,,TRUE
A chef shook the seasoning.  ,The seasoning was shaken by a chef.,shake,,,TRUE
The scientist shook the mixture.  ,The mixture was shaken by the scientist.,shake,,,TRUE
The wind shook the trees.  ,The trees were shaken by the wind.,shake,,,TRUE
The comedian shook the audience.  ,The audience was shaken by the comedian.,shake,,,TRUE
The artist shook the paint can.  ,The paint can was shaken by the artist.,shake,,,TRUE
The earthquake shook the buildings.  ,The buildings were shaken by the earthquake.,shake,,,TRUE
The siblings argued with their cousins.,Their cousins were argued with by the siblings.,argue with,,,TRUE
Two dogs squabbled with a cat.,A cat was squabbled with by two dogs.,squabble with,,,TRUE
Friends squabbled with their opinions.,Their opinions were squabbled with by friends.,squabble with,,,TRUE
Siblings squabbled with their parents.,Their parents were squabbled with by siblings.,squabble with,,,TRUE
Classmates squabbled with a teacher.,A teacher was squabbled with by classmates.,squabble with,,,TRUE
The teams squabbled with their rivals.,Their rivals were squabbled with by the teams.,squabble with,,,TRUE
The friend chatted to a neighbor.,A neighbor was chatted to by the friend.,chat to,,,TRUE
A dog forgot the bone.  ,The bone was forgotten by a dog.,forget,,,TRUE
The team possessed a strong work ethic.  ,A strong work ethic was possessed by the team.,possess,,,TRUE
The document contained important details.,Important details were contained by the document.,contain,,,TRUE
The film contained thrilling scenes.,Thrilling scenes were contained by the film.,contain,,,TRUE
The lecture contained insightful comments.,Insightful comments were contained by the lecture.,contain,,,TRUE
The book cost twenty dollars.,Twenty dollars were cost by the book.,cost,,,TRUE
The child took the toy.  ,The toy was taken by the child.,"take (i.e., carry on for a certiain length of time)",x,,TRUE
A woman took the book.  ,The book was taken by a woman.,"take (i.e., carry on for a certiain length of time)",x,,TRUE
John took the bus.  ,The bus was taken by John.,"take (i.e., carry on for a certiain length of time)",x,,TRUE
The gardener took the shears.  ,The shears were taken by the gardener.,"take (i.e., carry on for a certiain length of time)",x,,TRUE
The teacher took the class.  ,The class was taken by the teacher.,"take (i.e., carry on for a certiain length of time)",x,,TRUE
The museum housed ancient artifacts from Greece.  ,Ancient artifacts from Greece were housed by the museum.,house,,,TRUE
The freezer stored plenty of ice cream.  ,Plenty of ice cream was stored by the freezer.,"store (i.e., contain enough room to hold)",,,TRUE
The company had a conference.  ,A conference was had by the company.,have,,,TRUE
The project lacked funding.  ,Funding was lacked by the project.,lack,,,TRUE
The book lacked detailed information.  ,Detailed information was lacked by the book.,lack,,,TRUE
The plan lacked clear direction.  ,Clear direction was lacked by the plan.,lack,,,TRUE
The presentation lacked visual aids.  ,Visual aids were lacked by the presentation.,lack,,,TRUE
The recipe lacked proper seasoning.  ,Proper seasoning was lacked by the recipe.,lack,,,TRUE
The painting looked like a masterpiece.,A masterpiece was looked like by the painting.,look like,,?,TRUE
The sunset looked like a canvas of colors.,A canvas of colors was looked like by the sunset.,look like,,,TRUE
The dog was a loyal companion.,A loyal companion was been by the dog.,be,,?,TRUE
The party was a huge success.,A huge success was been by the party.,be,,,TRUE
The book was an interesting read.,An interesting read was been by the book.,be,,,TRUE
The meeting was a productive discussion.,A productive discussion was been by the meeting.,be,,,TRUE
The movie was an unforgettable experience.,An unforgettable experience was been by the movie.,be,,,TRUE
The painting was a masterpiece.,A masterpiece was been by the painting.,be,,,TRUE
The test was a challenging assessment.,A challenging assessment was been by the test.,be,,,TRUE
The team was the best in the league.,The best in the league was been by the team.,be,,,TRUE
The wound oozed blood.,Blood was oozed by the wound.,ooze,,,TRUE
The child spurted juice.,Juice was spurted by the child.,spurt,,,TRUE
The bottle spurted soda.,Soda was spurted by the bottle.,spurt,,,TRUE
The balloon spurted air.,Air was spurted by the balloon.,spurt,,,TRUE
The scientist proved the theory.,The theory was proven by the scientist.,prove,,,TRUE
The lawyer proved the case.,The case was proven by the lawyer.,prove,,,TRUE
The experiment proved the hypothesis.,The hypothesis was proven by the experiment.,prove,,,TRUE
The teacher proved the solution.,The solution was proven by the teacher.,prove,,,TRUE
The results proved the prediction.,The prediction was proven by the results.,prove,,,TRUE
The data proved the findings valid.,The findings were proven valid by the data.,prove,,,TRUE
The team installed a new system.,A new system was installed by the team.,install,,,TRUE
The technician installed new wiring.,New wiring was installed by the technician.,install,,,TRUE
The cat dangled its tail.,Its tail was dangled by the cat.,dangle,,,TRUE
The child dangled a toy.,A toy was dangled by the child.,dangle,,,TRUE
The bird dangled its feet.,Its feet were dangled by the bird.,dangle,,,TRUE
The artist dangled a brush.,A brush was dangled by the artist.,dangle,,,TRUE
The fisherman dangled a lure.,A lure was dangled by the fisherman.,dangle,,,TRUE
The dog dangled its tongue.,Its tongue was dangled by the dog.,dangle,,,TRUE
A child scooped some ice cream.,Some ice cream was scooped by a child.,scoop,,,TRUE
The artist scooped paint from the palette.,Paint was scooped from the palette by the artist.,scoop,,,TRUE
The boy scooped sand into a bucket.,Sand was scooped into a bucket by the boy.,scoop,,,TRUE
The baker scooped dough onto the tray.,Dough was scooped onto the tray by the baker.,scoop,,,TRUE
The child pocketed a toy.,A toy was pocketed by the child.,pocket,,,TRUE
The student pocketed a pen.,A pen was pocketed by the student.,pocket,,,TRUE
A student posted an assignment.,An assignment was posted by a student.,post,,,TRUE
The company posted an update.,An update was posted by the company.,post,,,TRUE
The manager posted a notice.,A notice was posted by the manager.,post,,,TRUE
The group posted a comment.,A comment was posted by the group.,post,,,TRUE
The artist posted a video.,A video was posted by the artist.,post,,,TRUE
The teacher sent an email.,An email was sent by the teacher.,send,,,TRUE
Sarah sent a postcard.,A postcard was sent by Sarah.,send,,,TRUE
The company sent a package.,A package was sent by the company.,send,,,TRUE
The chef sent a dish to the table.,A dish was sent to the table by the chef.,send,,,TRUE
The manager sent an invitation.,An invitation was sent by the manager.,send,,,TRUE
David sent a text message.,A text message was sent by David.,send,,,TRUE
The artist sent a painting to the gallery.,A painting was sent to the gallery by the artist.,send,,,TRUE
The parent sent a reminder note.,A reminder note was sent by the parent.,send,,,TRUE
The dog bounced a ball.,A ball was bounced by the dog.,bounce,,,TRUE
The girl drove the car.,The car was driven by the girl.,drive,,,TRUE
A family drove the truck.,The truck was driven by a family.,drive,,,TRUE
The coach drove the players.,The players were driven by the coach.,drive,,,TRUE
John drove a taxi.,A taxi was driven by John.,drive,,,TRUE
The tour guide drove the bus.,The bus was driven by the tour guide.,drive,,,TRUE
The mechanic drove the van.,The van was driven by the mechanic.,drive,,,TRUE
The couple drove the convertible.,The convertible was driven by the couple.,drive,,,TRUE
The teacher drove the school bus.,The school bus was driven by the teacher.,drive,,,TRUE
Sarah drove the sports car.,The sports car was driven by Sarah.,drive,,,TRUE
The farmer sold fresh tomatoes.,Fresh tomatoes were sold by the farmer.,sell,,,TRUE
The artist sold a painting.,A painting was sold by the artist.,sell,,,TRUE
The store sold a new bicycle.,A new bicycle was sold by the store.,sell,,,TRUE
The couple bought a house.,A house was bought by the couple.,buy,,,TRUE
The chef bought fresh ingredients.,Fresh ingredients were bought by the chef.,buy,,,TRUE
The family bought a car.,A car was bought by the family.,buy,,,TRUE
The student bought a laptop.,A laptop was bought by the student.,buy,,,TRUE
The employee earned a promotion.,A promotion was earned by the employee.,earn,,,TRUE
The student earned a scholarship.,A scholarship was earned by the student.,earn,,,TRUE
John borrowed some money.,Some money was borrowed by John.,borrow,,,TRUE
The teacher learned new methods.,New methods were learned by the teacher.,learn,,,TRUE
The family stored their belongings.,Their belongings were stored by the family.,store,,,TRUE
The librarian stored old books.,Old books were stored by the librarian.,store,,,TRUE
The artist saw a painting.  ,A painting was seen by the artist.,saw,,,TRUE
The child saw a dog.  ,A dog was seen by the child.,saw,,,TRUE
The teacher saw the student.  ,The student was seen by the teacher.,saw,,,TRUE
The photographer saw the sunset.  ,The sunset was seen by the photographer.,saw,,,TRUE
The detective saw a clue.  ,A clue was seen by the detective.,saw,,,TRUE
