Verb,Vno,Set,VtypeNEW,passive,active,active_score,passive_score,pass_drop
"take (i.e., carry on for a certiain length of time)",V444,2b,(e) Non-Passivizable,An hour was taken by the meal.,The meal took an hour.,-23.47116470336914,-32.21855926513672,8.747394561767578
spew,V470,2a,(e) Non-Passivizable,Ash was spewed by the volcano.,The volcano spewed ash.,-25.902767181396484,-38.84189987182617,12.939132690429688
spew,V470,2b,(e) Non-Passivizable,Ash was spewed by the volcano.,The volcano spewed ash.,-25.902767181396484,-38.84189987182617,12.939132690429688
gush,V465,1a,(e) Non-Passivizable,Blood was gushed by the wound.,The wound gushed blood.,-33.99176788330078,-32.36104202270508,-1.6307258605957031
gush,V465,1b,(e) Non-Passivizable,Blood was gushed by the wound.,The wound gushed blood.,-33.99176788330078,-32.36104202270508,-1.6307258605957031
stream,V474,1a,(e) Non-Passivizable,Blood was streamed by the cut.,The cut streamed blood.,-40.568092346191406,-37.39802169799805,-3.1700706481933594
stream,V474,1b,(e) Non-Passivizable,Blood was streamed by the cut.,The cut streamed blood.,-40.568092346191406,-37.39802169799805,-3.1700706481933594
sweat,V475,2a,(e) Non-Passivizable,Blood was sweated by the workman.,The workman sweated blood.,-39.064918518066406,-45.849693298339844,6.7847747802734375
sweat,V475,2b,(e) Non-Passivizable,Blood was sweated by the workman.,The workman sweated blood.,-39.064918518066406,-45.849693298339844,6.7847747802734375
abandon,V286,2b,(a) Agent-Patient,Wendy was abandonned by Bob.,Bob abandonned Wendy.,-43.337581634521484,-49.10009765625,5.762516021728516
accept,V401,2b,(d) Other Passivizable,The present was accepted by Bob.,Bob accepted the present.,-24.871170043945312,-40.28560256958008,15.414432525634766
accompany,V296,2b,(a) Agent-Patient,Wendy was accompanied by Bob.,Bob accompanied Wendy.,-28.04813003540039,-31.087310791015625,3.0391807556152344
admire,V346,2b,(c) Experiencer-Theme,Wendy was admired by Bob.,Bob admired Wendy.,-25.7628173828125,-36.778900146484375,11.016082763671875
adore,V347,2a,(c) Experiencer-Theme,Wendy was adored by Bob.,Bob adored Wendy.,-30.16559600830078,-34.34819030761719,4.182594299316406
advise,V268,2b,(a) Agent-Patient,Wendy was advised by Bob.,Bob advised Wendy.,-28.35277557373047,-32.9476318359375,4.594856262207031
aggravate,V302,2a,(b) Theme-Experiencer,Wendy was aggravated by Bob.,Bob aggravated Wendy.,-33.941192626953125,-40.93165588378906,6.9904632568359375
agree with,V247,2a,(a) Agent-Patient,Wendy was agreed with by Bob.,Bob agreed with Wendy.,-26.992076873779297,-38.18707275390625,11.194995880126953
alter,V080,2b,(a) Agent-Patient,The plan was altered by Bob.,Bob altered the plan.,-23.30124282836914,-35.470069885253906,12.168827056884766
amaze,V303,2b,(b) Theme-Experiencer,Wendy was amazed by Bob.,Bob amazed Wendy.,-29.633174896240234,-34.56111145019531,4.927936553955078
amuse,V304,2a,(b) Theme-Experiencer,Wendy was amused by Bob.,Bob amused Wendy.,-30.11609649658203,-34.945770263671875,4.829673767089844
anger,V305,2b,(b) Theme-Experiencer,Wendy was angered by Bob.,Bob angered Wendy.,-27.61387062072754,-36.212467193603516,8.598596572875977
announce,V103,2a,(a) Agent-Patient,The date was announced by Bob.,Bob announced the date.,-21.193078994750977,-32.1314811706543,10.93840217590332
annoy,V306,2a,(b) Theme-Experiencer,Wendy was annoyed by Bob.,Bob annoyed Wendy.,-28.138484954833984,-34.02409362792969,5.885608673095703
appluad,V220,2a,(a) Agent-Patient,Wendy was appluaded by Bob.,Bob appluaded Wendy.,-56.150604248046875,-61.50310516357422,5.352500915527344
appreciate,V370,2b,(c) Experiencer-Theme,Wendy was appreciated by Bob.,Bob appreciated Wendy.,-30.62512969970703,-32.82222366333008,2.197093963623047
argue with,V248,2b,(a) Agent-Patient,Wendy was argued with by Bob.,Bob argued with Wendy.,-28.59855079650879,-38.38466262817383,9.786111831665039
arrange,V001,2b,(a) Agent-Patient,The display was arranged by Bob.,Bob arranged the display.,-28.678709030151367,-33.17146301269531,4.492753982543945
ask,V088,2b,(a) Agent-Patient,The question was asked by Bob.,Bob asked the question.,-16.158096313476562,-27.084232330322266,10.926136016845703
assassinate,V228,2a,(a) Agent-Patient,Wendy was assassinated by Bob.,Bob assassinated Wendy.,-26.14310073852539,-33.77731704711914,7.63421630859375
assert,V412,2b,(d) Other Passivizable,The argument was asserted by Bob.,Bob asserted the argument.,-27.46327018737793,-35.256893157958984,7.793622970581055
astonish,V307,2b,(b) Theme-Experiencer,Wendy was astonished by Bob.,Bob astonished Wendy.,-31.3972110748291,-37.46770095825195,6.070489883422852
eat,V156,2b,(a) Agent-Patient,Wendy was eaten by Bob.,Bob ate Wendy.,-25.245960235595703,-32.69282913208008,7.446868896484375
avoid,V223,2b,(a) Agent-Patient,Wendy was avoided by Bob.,Bob avoided Wendy.,-30.49304962158203,-36.010921478271484,5.517871856689453
bake,V137,2b,(a) Agent-Patient,The bread was baked by Bob.,Bob baked the bread.,-24.51373863220215,-32.74659729003906,8.232858657836914
banish,V229,2a,(a) Agent-Patient,Wendy was banished by Bob.,Bob banished Wendy.,-31.301067352294922,-36.48349380493164,5.182426452636719
bark,V093,2a,(a) Agent-Patient,The reply was barked by Bob.,Bob barked the reply.,-32.471588134765625,-39.54523468017578,7.073646545410156
beat,V077,2a,(a) Agent-Patient,The batter was beaten by Bob.,Bob beat the batter.,-24.461166381835938,-39.75409698486328,15.292930603027344
begin,V147,2a,(a) Agent-Patient,The story was begun by Bob.,Bob began the story.,-19.824195861816406,-33.904029846191406,14.079833984375
believe,V371,2b,(c) Experiencer-Theme,Wendy was believed by Bob.,Bob believed Wendy.,-30.24106216430664,-40.94179153442383,10.700729370117188
bend,V135,2a,(a) Agent-Patient,The branch was bent by Bob.,Bob bent the branch.,-28.224750518798828,-41.72740173339844,13.50265121459961
bite,V198,2b,(a) Agent-Patient,Wendy was bitten by Bob.,Bob bit Wendy.,-24.731739044189453,-31.529197692871094,6.797458648681641
block,V043,2a,(a) Agent-Patient,The pipe was blocked by Bob.,Bob blocked the pipe.,-25.681886672973633,-37.623191833496094,11.941305160522461
boil,V138,2a,(a) Agent-Patient,The water was boiled by Bob.,Bob boiled the water.,-20.248075485229492,-36.54845428466797,16.300378799438477
borrow,V035,2b,(a) Agent-Patient,The game was borrowed by Bob.,Bob borrowed the game.,-24.455032348632812,-32.61244583129883,8.157413482666016
bother,V308,2b,(b) Theme-Experiencer,Wendy was bothered by Bob.,Bob bothered Wendy.,-27.55242919921875,-35.517269134521484,7.964839935302734
buy,V033,2b,(a) Agent-Patient,The book was bought by Bob.,Bob bought the book.,-17.366792678833008,-30.094085693359375,12.727293014526367
bounce,V028,2b,(a) Agent-Patient,The football was bounced by Bob.,Bob bounced the football.,-26.444406509399414,-44.2010498046875,17.756643295288086
break,V125,2b,(a) Agent-Patient,The plate was broken by Bob.,Bob broke the plate.,-22.43581771850586,-33.85551452636719,11.419696807861328
bring,V029,2a,(a) Agent-Patient,The food was brought by Bob.,Bob brought the food.,-22.2535343170166,-35.52985382080078,13.27631950378418
build,V068,2a,(a) Agent-Patient,The castle was built by Bob.,Bob built the castle.,-21.849117279052734,-31.367664337158203,9.518547058105469
burn,V143,2b,(a) Agent-Patient,The toast was burnt by Bob.,Bob burnt the toast.,-26.200366973876953,-38.821693420410156,12.621326446533203
butter,V015,2a,(a) Agent-Patient,The toast was buttered by Bob.,Bob buttered the toast.,-35.881080627441406,-41.88462448120117,6.003543853759766
button,V049,2a,(a) Agent-Patient,The coat was buttoned by Bob.,Bob buttoned the coat.,-29.976810455322266,-38.794952392578125,8.81814193725586
call,V262,2b,(a) Agent-Patient,Wendy was called by Bob.,Bob called Wendy.,-22.048023223876953,-30.20888900756836,8.160865783691406
calm,V309,2a,(b) Theme-Experiencer,Wendy was calmed by Bob.,Bob calmed Wendy.,-28.7266902923584,-37.104766845703125,8.378076553344727
capture,V154,2a,(a) Agent-Patient,Wendy was captured by Bob.,Bob captured Wendy.,-31.70425796508789,-30.978004455566406,-0.7262535095214844
carry,V179,2a,(a) Agent-Patient,Wendy was carried by Bob.,Bob carried Wendy.,-29.85679054260254,-33.40595245361328,3.549161911010742
carve,V045,2a,(a) Agent-Patient,The wood was carved by Bob.,Bob carved the wood.,-20.272220611572266,-32.79243850708008,12.520217895507812
catch,V184,2a,(a) Agent-Patient,Wendy was caught by Bob.,Bob caught Wendy.,-30.461822509765625,-31.516857147216797,1.0550346374511719
chant,V081,2a,(a) Agent-Patient,The prayer was chanted by Bob.,Bob chanted the prayer.,-25.276782989501953,-35.987613677978516,10.710830688476562
chase,V289,2a,(a) Agent-Patient,Wendy was chased by Bob.,Bob chased Wendy.,-29.1460018157959,-32.83357238769531,3.687570571899414
chat to,V265,2b,(a) Agent-Patient,Wendy was chatted to by Bob.,Bob chatted to Wendy.,-24.199277877807617,-38.458251953125,14.258974075317383
cheer up,V310,2b,(b) Theme-Experiencer,Wendy was cheered up by Bob.,Bob cheered up Wendy.,-35.349449157714844,-40.487632751464844,5.13818359375
chew,V109,2a,(a) Agent-Patient,The gum was chewed by Bob.,Bob chewed the gum.,-24.116958618164062,-38.435882568359375,14.318923950195312
chip,V126,2a,(a) Agent-Patient,The bowl was chipped by Bob.,Bob chipped the bowl.,-28.692272186279297,-41.08809280395508,12.395820617675781
chop,V046,2b,(a) Agent-Patient,The onion was chopped by Bob.,Bob chopped the onion.,-20.364356994628906,-36.82074737548828,16.456390380859375
choose,V185,2b,(a) Agent-Patient,Wendy was chosen by Bob.,Bob chose Wendy.,-25.76912498474121,-31.686649322509766,5.917524337768555
claw,V199,2a,(a) Agent-Patient,Wendy was clawed by Bob.,Bob clawed Wendy.,-31.714059829711914,-35.83943176269531,4.125371932983398
clean,V173,2a,(a) Agent-Patient,Wendy was cleaned by Bob.,Bob cleaned Wendy.,-35.60882568359375,-37.43373489379883,1.8249092102050781
clear,V020,2b,(a) Agent-Patient,The room was cleared by Bob.,Bob cleared the room.,-17.982524871826172,-32.469173431396484,14.486648559570312
coil,V011,2b,(a) Agent-Patient,The leash was coiled by Bob.,Bob coiled the leash.,-37.77183532714844,-42.78835678100586,5.016521453857422
comfort,V311,2b,(b) Theme-Experiencer,Wendy was comforted by Bob.,Bob comforted Wendy.,-27.279542922973633,-34.71868896484375,7.439146041870117
commence,V148,2b,(a) Agent-Patient,The argument was commenced by Bob.,Bob commenced the argument.,-24.54247283935547,-35.601707458496094,11.059234619140625
complete,V153,2b,(a) Agent-Patient,The race was completed by Bob.,Bob completed the race.,-24.85698699951172,-37.01472091674805,12.157733917236328
compliment,V233,2b,(a) Agent-Patient,Wendy was complimented by Bob.,Bob complimented Wendy.,-27.843948364257812,-33.432674407958984,5.588726043701172
compose,V073,2a,(a) Agent-Patient,The song was composed by Bob.,Bob composed the song.,-20.371936798095703,-28.275005340576172,7.903068542480469
confirm,V413,2a,(d) Other Passivizable,The allegation was confirmed by Bob.,Bob confirmed the allegation.,-21.042879104614258,-32.41469192504883,11.37181282043457
congratulate,V234,2a,(a) Agent-Patient,Wendy was congratulated by Bob.,Bob congratulated Wendy.,-29.80109405517578,-31.971355438232422,2.1702613830566406
consume,V118,2a,(a) Agent-Patient,The snack was consumed by Bob.,Bob consumed the snack.,-24.883216857910156,-35.7246208190918,10.84140396118164
continue,V149,2a,(a) Agent-Patient,The conversation was continued by Bob.,Bob continued the conversation.,-18.496150970458984,-32.17002487182617,13.673873901367188
converse with,V266,2a,(a) Agent-Patient,Wendy was conversed with by Bob.,Bob conversed with Wendy.,-27.967506408691406,-42.65444564819336,14.686939239501953
cook,V139,2b,(a) Agent-Patient,The pizza was cooked by Bob.,Bob cooked the pizza.,-19.812278747558594,-30.818035125732422,11.005756378173828
cooperate with,V249,2a,(a) Agent-Patient,Wendy was cooperated with by Bob.,Bob cooperated with Wendy.,-29.10668182373047,-40.390228271484375,11.283546447753906
copy,V212,2b,(a) Agent-Patient,Wendy was copied by Bob.,Bob copied Wendy.,-28.89153289794922,-32.312225341796875,3.4206924438476562
court,V253,2a,(a) Agent-Patient,Wendy was courted by Bob.,Bob courted Wendy.,-28.921520233154297,-34.02476119995117,5.103240966796875
cover,V168,2a,(a) Agent-Patient,Wendy was covered by Bob.,Bob covered Wendy.,-28.69133949279785,-33.33451843261719,4.643178939819336
crack,V127,2b,(a) Agent-Patient,The mirror was cracked by Bob.,Bob cracked the mirror.,-24.030536651611328,-37.00419616699219,12.97365951538086
crease,V134,2b,(a) Agent-Patient,The T-shirt was creased by Bob.,Bob creased the T-shirt.,-29.698772430419922,-42.95684814453125,13.258075714111328
create,V410,2b,(d) Other Passivizable,The theory was created by Bob.,Bob created the theory.,-22.201515197753906,-31.044742584228516,8.84322738647461
criticize,V241,2b,(a) Agent-Patient,Wendy was criticized by Bob.,Bob criticized Wendy.,-30.948083877563477,-34.648033142089844,3.699949264526367
crush,V157,2a,(a) Agent-Patient,Wendy was crushed by Bob.,Bob crushed Wendy.,-25.033817291259766,-33.1278076171875,8.093990325927734
cuddle,V254,2b,(a) Agent-Patient,Wendy was cuddled by Bob.,Bob cuddled Wendy.,-36.868961334228516,-37.59432601928711,0.7253646850585938
cut,V210,2b,(a) Agent-Patient,Wendy was cut by Bob.,Bob cut Wendy.,-27.616682052612305,-34.533302307128906,6.916620254516602
dangle,V004,2a,(a) Agent-Patient,The string was dangled by Bob.,Bob dangled the string.,-27.351293563842773,-38.304359436035156,10.953065872192383
date,V255,2a,(a) Agent-Patient,Wendy was dated by Bob.,Bob dated Wendy.,-26.337055206298828,-42.798377990722656,16.461322784423828
dazzle,V312,2a,(b) Theme-Experiencer,Wendy was dazzled by Bob.,Bob dazzled Wendy.,-34.7060661315918,-37.585052490234375,2.878986358642578
decorate,V067,2b,(a) Agent-Patient,The hall was decorated by Bob.,Bob decorated the hall.,-21.902324676513672,-32.7271614074707,10.824836730957031
delete,V019,2a,(a) Agent-Patient,The file was deleted by Bob.,Bob deleted the file.,-22.28952407836914,-29.22199249267578,6.932468414306641
demolish,V120,2b,(a) Agent-Patient,The stadium was demolished by Bob.,Bob demolished the stadium.,-23.628177642822266,-37.44676971435547,13.818592071533203
demonstrate,V414,2b,(d) Other Passivizable,The reasoning was demonstrated by Bob.,Bob demonstrated the reasoning.,-27.08953094482422,-34.32969665527344,7.240165710449219
depress,V313,2b,(b) Theme-Experiencer,Wendy was depressed by Bob.,Bob depressed Wendy.,-29.373775482177734,-41.54076385498047,12.166988372802734
desert,V287,2a,(a) Agent-Patient,Wendy was deserted by Bob.,Bob deserted Wendy.,-25.706167221069336,-36.9813232421875,11.275156021118164
design,V074,2b,(a) Agent-Patient,The cover was designed by Bob.,Bob designed the cover.,-19.687538146972656,-32.69773483276367,13.010196685791016
despise,V383,2b,(c) Experiencer-Theme,Wendy was despised by Bob.,Bob despised Wendy.,-28.09292984008789,-37.759521484375,9.66659164428711
destroy,V121,2a,(a) Agent-Patient,The city was destroyed by Bob.,Bob destroyed the city.,-20.565013885498047,-36.722618103027344,16.157604217529297
detect,V394,2a,(c) Experiencer-Theme,The sound was detected by Bob.,Bob detected the sound.,-21.571062088012695,-34.78180694580078,13.210744857788086
detest,V384,2a,(c) Experiencer-Theme,Wendy was detested by Bob.,Bob detested Wendy.,-27.39141845703125,-37.16537857055664,9.77396011352539
devour,V119,2b,(a) Agent-Patient,The starter was devoured by Bob.,Bob devoured the starter.,-33.63322448730469,-44.00475311279297,10.371528625488281
direct,V082,2b,(a) Agent-Patient,The video was directed by Bob.,Bob directed the video.,-19.698183059692383,-29.50457763671875,9.806394577026367
disagree with,V250,2b,(a) Agent-Patient,Wendy was disagreed with by Bob.,Bob disagreed with Wendy.,-25.844959259033203,-40.61384963989258,14.768890380859375
discover,V354,2b,(c) Experiencer-Theme,Wendy was discovered by Bob.,Bob discovered Wendy.,-26.75572967529297,-32.52084732055664,5.765117645263672
disgust,V314,2b,(b) Theme-Experiencer,Wendy was disgusted by Bob.,Bob disgusted Wendy.,-30.593402862548828,-35.43133544921875,4.837932586669922
dislike,V385,2b,(c) Experiencer-Theme,Wendy was disliked by Bob.,Bob disliked Wendy.,-25.074649810791016,-35.77128601074219,10.696636199951172
dispatch,V275,2b,(a) Agent-Patient,Wendy was dispatched by Bob.,Bob dispatched Wendy.,-30.084514617919922,-33.23709487915039,3.1525802612304688
distract,V315,2a,(b) Theme-Experiencer,Wendy was distracted by Bob.,Bob distracted Wendy.,-32.29825973510742,-32.646881103515625,0.3486213684082031
distrust,V386,2a,(c) Experiencer-Theme,Wendy was distrusted by Bob.,Bob distrusted Wendy.,-35.275325775146484,-38.587242126464844,3.3119163513183594
disturb,V316,2b,(b) Theme-Experiencer,Wendy was disturbed by Bob.,Bob disturbed Wendy.,-29.140830993652344,-35.24037170410156,6.099540710449219
divide,V056,2b,(a) Agent-Patient,The pudding was divided by Bob.,Bob divided the pudding.,-31.146209716796875,-41.240989685058594,10.094779968261719
divorce,V232,2a,(a) Agent-Patient,Wendy was divorced by Bob.,Bob divorced Wendy.,-26.323467254638672,-35.32262420654297,8.999156951904297
dodge,V224,2a,(a) Agent-Patient,Wendy was dodged by Bob.,Bob dodged Wendy.,-32.026702880859375,-35.09864807128906,3.0719451904296875
drag,V180,2b,(a) Agent-Patient,Wendy was dragged by Bob.,Bob dragged Wendy.,-30.859619140625,-35.66766357421875,4.80804443359375
drink,V108,2a,(a) Agent-Patient,The tea was drunk by Bob.,Bob drank the tea.,-20.210527420043945,-37.010013580322266,16.79948616027832
dread,V387,2b,(c) Experiencer-Theme,Wendy was dreaded by Bob.,Bob dreaded Wendy.,-29.46200180053711,-42.031707763671875,12.569705963134766
dress,V273,2a,(a) Agent-Patient,Wendy was dressed by Bob.,Bob dressed Wendy.,-31.153886795043945,-34.03606033325195,2.882173538208008
draw,V063,2b,(a) Agent-Patient,The cat was drawn by Bob.,Bob drew the cat.,-22.535911560058594,-31.905536651611328,9.369625091552734
drop,V158,2a,(a) Agent-Patient,Wendy was dropped by Bob.,Bob dropped Wendy.,-27.023635864257812,-32.812339782714844,5.788703918457031
drive,V030,2b,(a) Agent-Patient,The car was driven by Bob.,Bob drove the car.,-16.630300521850586,-27.302204132080078,10.671903610229492
drown,V281,2b,(a) Agent-Patient,Wendy was drowned by Bob.,Bob drowned Wendy.,-34.59029769897461,-38.835147857666016,4.244850158691406
dump,V005,2b,(a) Agent-Patient,The waste was dumped by Bob.,Bob dumped the waste.,-26.90851402282715,-35.762290954589844,8.853776931762695
earn,V034,2a,(a) Agent-Patient,The bonus was earned by Bob.,Bob earned the bonus.,-30.347070693969727,-36.19919204711914,5.852121353149414
eliminate,V276,2a,(a) Agent-Patient,Wendy was eliminated by Bob.,Bob eliminated Wendy.,-29.23433494567871,-35.45006561279297,6.215730667114258
elude,V225,2b,(a) Agent-Patient,Wendy was eluded by Bob.,Bob eluded Wendy.,-28.499868392944336,-42.64306640625,14.143198013305664
embarass,V317,2a,(b) Theme-Experiencer,Wendy was embarassed by Bob.,Bob embarassed Wendy.,-40.68434524536133,-37.61025619506836,-3.0740890502929688
embrace,V256,2a,(a) Agent-Patient,Wendy was embraced by Bob.,Bob embraced Wendy.,-24.372129440307617,-32.672950744628906,8.300821304321289
empty,V021,2a,(a) Agent-Patient,The glass was emptied by Bob.,Bob emptied the glass.,-22.806163787841797,-38.74347686767578,15.937313079833984
encourage,V318,2b,(b) Theme-Experiencer,Wendy was encouraged by Bob.,Bob encouraged Wendy.,-30.298133850097656,-31.762256622314453,1.4641227722167969
end,V150,2b,(a) Agent-Patient,The discussion was ended by Bob.,Bob ended the discussion.,-19.296123504638672,-33.31891632080078,14.02279281616211
enrage,V319,2a,(b) Theme-Experiencer,Wendy was enraged by Bob.,Bob enraged Wendy.,-28.35302734375,-34.2731819152832,5.920154571533203
entertain,V320,2b,(b) Theme-Experiencer,Wendy was entertained by Bob.,Bob entertained Wendy.,-32.68016815185547,-33.794334411621094,1.114166259765625
envy,V388,2b,(c) Experiencer-Theme,Wendy was envied by Bob.,Bob envied Wendy.,-31.150604248046875,-39.49845886230469,8.347854614257812
escort,V297,2a,(a) Agent-Patient,Wendy was escorted by Bob.,Bob escorted Wendy.,-29.634124755859375,-34.12099075317383,4.486865997314453
examine,V355,2a,(c) Experiencer-Theme,Wendy was examined by Bob.,Bob examined Wendy.,-28.919771194458008,-34.627891540527344,5.708120346069336
excuse,V235,2b,(a) Agent-Patient,Wendy was excused by Bob.,Bob excused Wendy.,-33.57998275756836,-34.638572692871094,1.0585899353027344
execute,V277,2b,(a) Agent-Patient,Wendy was executed by Bob.,Bob executed Wendy.,-29.402475357055664,-33.30925750732422,3.9067821502685547
expel,V172,2b,(a) Agent-Patient,Wendy was expelled by Bob.,Bob expelled Wendy.,-28.938217163085938,-37.2789421081543,8.34072494506836
explain,V415,2a,(d) Other Passivizable,The problem was explained by Bob.,Bob explained the problem.,-19.52031707763672,-32.59687423706055,13.076557159423828
exterminate,V122,2b,(a) Agent-Patient,The spider was exterminated by Bob.,Bob exterminated the spider.,-27.076187133789062,-41.198760986328125,14.122573852539062
fascinate,V321,2a,(b) Theme-Experiencer,Wendy was fascinated by Bob.,Bob fascinated Wendy.,-29.66065216064453,-31.14862060546875,1.4879684448242188
