Verb,Vno,Set,VtypeNEW,passive,active,active_score,passive_score,pass_drop
be,V459,2b,(e) Non-Passivizable,A father was been by Bob.,Bob was a father.,-15.583608627319336,-49.43023681640625,33.846628189086914
be,V459,1a,(e) Non-Passivizable,A father was been by Homer.,Homer was a father.,-24.9810791015625,-54.98797607421875,30.00689697265625
lack,V456,2a,(e) Non-Passivizable,A garden was lacked by the cottate.,The cottage lacked a garden.,-36.63429641723633,-61.58210754394531,24.947811126708984
lack,V456,2b,(e) Non-Passivizable,A garden was lacked by the cottate.,The cottage lacked a garden.,-36.63429641723633,-61.58210754394531,24.947811126708984
"carry (i.e., hold a certain number of people)",V445,2a,(e) Non-Passivizable,A heavy fine was carried by the crime.,The crime carried a heavy fine.,-36.16299057006836,-45.5006103515625,9.33761978149414
"carry (i.e., hold a certain number of people)",V445,2b,(e) Non-Passivizable,A heavy fine was carried by the crime.,The crime carried a heavy fine.,-36.16299057006836,-45.5006103515625,9.33761978149414
be,V459,1b,(e) Non-Passivizable,A mother was been by Marge.,Marge was a mother.,-27.482173919677734,-51.66883850097656,24.186664581298828
weigh,V441,1a,(e) Non-Passivizable,A tonne was weighed by the horse.,The horse weighed a tonne.,-34.531349182128906,-42.506004333496094,7.9746551513671875
weigh,V441,1b,(e) Non-Passivizable,A tonne was weighed by the horse.,The horse weighed a tonne.,-34.531349182128906,-42.506004333496094,7.9746551513671875
"take (i.e., carry on for a certiain length of time)",V444,1a,(e) Non-Passivizable,An afternoon was taken by the lesson.,The lesson took an afternoon.,-32.497928619384766,-44.76481246948242,12.266883850097656
"take (i.e., carry on for a certiain length of time)",V444,1b,(e) Non-Passivizable,An afternoon was taken by the lesson.,The lesson took an afternoon.,-32.497928619384766,-44.76481246948242,12.266883850097656
last,V443,1a,(e) Non-Passivizable,An hour was lasted by the film.,The film lasted an hour.,-24.033748626708984,-39.60961151123047,15.575862884521484
last,V443,1b,(e) Non-Passivizable,An hour was lasted by the film.,The film lasted an hour.,-24.033748626708984,-39.60961151123047,15.575862884521484
"take (i.e., carry on for a certiain length of time)",V444,2a,(e) Non-Passivizable,An hour was taken by the meal.,The meal took an hour.,-23.46785545349121,-36.109619140625,12.641763687133789
"take (i.e., carry on for a certiain length of time)",V444,2b,(e) Non-Passivizable,An hour was taken by the meal.,The meal took an hour.,-23.46785545349121,-36.109619140625,12.641763687133789
spew,V470,2a,(e) Non-Passivizable,Ash was spewed by the volcano.,The volcano spewed ash.,-26.012317657470703,-39.25856018066406,13.24624252319336
spew,V470,2b,(e) Non-Passivizable,Ash was spewed by the volcano.,The volcano spewed ash.,-26.012317657470703,-39.25856018066406,13.24624252319336
gush,V465,1a,(e) Non-Passivizable,Blood was gushed by the wound.,The wound gushed blood.,-35.64249801635742,-32.71218490600586,-2.9303131103515625
gush,V465,1b,(e) Non-Passivizable,Blood was gushed by the wound.,The wound gushed blood.,-35.64249801635742,-32.71218490600586,-2.9303131103515625
stream,V474,1a,(e) Non-Passivizable,Blood was streamed by the cut.,The cut streamed blood.,-41.084659576416016,-34.81374740600586,-6.270912170410156
stream,V474,1b,(e) Non-Passivizable,Blood was streamed by the cut.,The cut streamed blood.,-41.084659576416016,-34.81374740600586,-6.270912170410156
sweat,V475,2a,(e) Non-Passivizable,Blood was sweated by the workman.,The workman sweated blood.,-40.225433349609375,-43.14535903930664,2.9199256896972656
sweat,V475,2b,(e) Non-Passivizable,Blood was sweated by the workman.,The workman sweated blood.,-40.225433349609375,-43.14535903930664,2.9199256896972656
abandon,V286,2b,(a) Agent-Patient,Wendy was abandonned by Bob.,Bob abandonned Wendy.,-43.998573303222656,-50.71443176269531,6.715858459472656
accept,V401,2b,(d) Other Passivizable,The present was accepted by Bob.,Bob accepted the present.,-26.500226974487305,-40.42293930053711,13.922712326049805
accompany,V296,2b,(a) Agent-Patient,Wendy was accompanied by Bob.,Bob accompanied Wendy.,-29.926559448242188,-31.919212341308594,1.9926528930664062
admire,V346,2b,(c) Experiencer-Theme,Wendy was admired by Bob.,Bob admired Wendy.,-27.906993865966797,-35.264442443847656,7.357448577880859
adore,V347,2a,(c) Experiencer-Theme,Wendy was adored by Bob.,Bob adored Wendy.,-29.674320220947266,-34.96921157836914,5.294891357421875
advise,V268,2b,(a) Agent-Patient,Wendy was advised by Bob.,Bob advised Wendy.,-29.536449432373047,-33.1342887878418,3.59783935546875
aggravate,V302,2a,(b) Theme-Experiencer,Wendy was aggravated by Bob.,Bob aggravated Wendy.,-37.94282531738281,-39.95667266845703,2.0138473510742188
agree with,V247,2a,(a) Agent-Patient,Wendy was agreed with by Bob.,Bob agreed with Wendy.,-26.753938674926758,-44.474727630615234,17.720788955688477
alter,V080,2b,(a) Agent-Patient,The plan was altered by Bob.,Bob altered the plan.,-24.831008911132812,-37.84703063964844,13.016021728515625
amaze,V303,2b,(b) Theme-Experiencer,Wendy was amazed by Bob.,Bob amazed Wendy.,-28.049758911132812,-37.71429443359375,9.664535522460938
amuse,V304,2a,(b) Theme-Experiencer,Wendy was amused by Bob.,Bob amused Wendy.,-30.524972915649414,-36.1215705871582,5.596597671508789
anger,V305,2b,(b) Theme-Experiencer,Wendy was angered by Bob.,Bob angered Wendy.,-27.386260986328125,-35.482086181640625,8.0958251953125
announce,V103,2a,(a) Agent-Patient,The date was announced by Bob.,Bob announced the date.,-19.787580490112305,-32.6811637878418,12.893583297729492
annoy,V306,2a,(b) Theme-Experiencer,Wendy was annoyed by Bob.,Bob annoyed Wendy.,-26.96099090576172,-35.888587951660156,8.927597045898438
appluad,V220,2a,(a) Agent-Patient,Wendy was appluaded by Bob.,Bob appluaded Wendy.,-58.173465728759766,-65.51509094238281,7.341625213623047
appreciate,V370,2b,(c) Experiencer-Theme,Wendy was appreciated by Bob.,Bob appreciated Wendy.,-34.62489318847656,-36.13692092895508,1.5120277404785156
argue with,V248,2b,(a) Agent-Patient,Wendy was argued with by Bob.,Bob argued with Wendy.,-28.467132568359375,-48.01126480102539,19.544132232666016
arrange,V001,2b,(a) Agent-Patient,The display was arranged by Bob.,Bob arranged the display.,-27.976272583007812,-33.897926330566406,5.921653747558594
ask,V088,2b,(a) Agent-Patient,The question was asked by Bob.,Bob asked the question.,-15.693596839904785,-28.061975479125977,12.368378639221191
assassinate,V228,2a,(a) Agent-Patient,Wendy was assassinated by Bob.,Bob assassinated Wendy.,-30.454565048217773,-36.40069580078125,5.946130752563477
assert,V412,2b,(d) Other Passivizable,The argument was asserted by Bob.,Bob asserted the argument.,-29.347925186157227,-39.226314544677734,9.878389358520508
astonish,V307,2b,(b) Theme-Experiencer,Wendy was astonished by Bob.,Bob astonished Wendy.,-31.721647262573242,-37.979576110839844,6.257928848266602
eat,V156,2b,(a) Agent-Patient,Wendy was eaten by Bob.,Bob ate Wendy.,-24.59222412109375,-36.441253662109375,11.849029541015625
avoid,V223,2b,(a) Agent-Patient,Wendy was avoided by Bob.,Bob avoided Wendy.,-33.06794738769531,-38.673828125,5.6058807373046875
bake,V137,2b,(a) Agent-Patient,The bread was baked by Bob.,Bob baked the bread.,-25.040515899658203,-34.28816223144531,9.24764633178711
banish,V229,2a,(a) Agent-Patient,Wendy was banished by Bob.,Bob banished Wendy.,-29.338058471679688,-37.84548568725586,8.507427215576172
bark,V093,2a,(a) Agent-Patient,The reply was barked by Bob.,Bob barked the reply.,-30.622055053710938,-46.29882049560547,15.676765441894531
beat,V077,2a,(a) Agent-Patient,The batter was beaten by Bob.,Bob beat the batter.,-25.563644409179688,-39.649085998535156,14.085441589355469
begin,V147,2a,(a) Agent-Patient,The story was begun by Bob.,Bob began the story.,-20.064170837402344,-33.9473876953125,13.883216857910156
believe,V371,2b,(c) Experiencer-Theme,Wendy was believed by Bob.,Bob believed Wendy.,-32.045692443847656,-39.84986114501953,7.804168701171875
bend,V135,2a,(a) Agent-Patient,The branch was bent by Bob.,Bob bent the branch.,-28.97409439086914,-41.81781005859375,12.84371566772461
bite,V198,2b,(a) Agent-Patient,Wendy was bitten by Bob.,Bob bit Wendy.,-31.18906021118164,-35.15958786010742,3.9705276489257812
block,V043,2a,(a) Agent-Patient,The pipe was blocked by Bob.,Bob blocked the pipe.,-28.512977600097656,-35.01716232299805,6.504184722900391
boil,V138,2a,(a) Agent-Patient,The water was boiled by Bob.,Bob boiled the water.,-27.032047271728516,-39.70750427246094,12.675457000732422
borrow,V035,2b,(a) Agent-Patient,The game was borrowed by Bob.,Bob borrowed the game.,-22.141143798828125,-33.274658203125,11.133514404296875
bother,V308,2b,(b) Theme-Experiencer,Wendy was bothered by Bob.,Bob bothered Wendy.,-28.34942626953125,-35.971336364746094,7.621910095214844
buy,V033,2b,(a) Agent-Patient,The book was bought by Bob.,Bob bought the book.,-17.695253372192383,-32.2976188659668,14.602365493774414
bounce,V028,2b,(a) Agent-Patient,The football was bounced by Bob.,Bob bounced the football.,-28.62617301940918,-46.9403076171875,18.31413459777832
break,V125,2b,(a) Agent-Patient,The plate was broken by Bob.,Bob broke the plate.,-26.615062713623047,-36.96025848388672,10.345195770263672
bring,V029,2a,(a) Agent-Patient,The food was brought by Bob.,Bob brought the food.,-23.65483856201172,-35.46993637084961,11.81509780883789
build,V068,2a,(a) Agent-Patient,The castle was built by Bob.,Bob built the castle.,-22.32513999938965,-30.882442474365234,8.557302474975586
burn,V143,2b,(a) Agent-Patient,The toast was burnt by Bob.,Bob burnt the toast.,-30.13237762451172,-40.097259521484375,9.964881896972656
butter,V015,2a,(a) Agent-Patient,The toast was buttered by Bob.,Bob buttered the toast.,-35.454376220703125,-41.874664306640625,6.4202880859375
button,V049,2a,(a) Agent-Patient,The coat was buttoned by Bob.,Bob buttoned the coat.,-33.19413375854492,-40.06581115722656,6.871677398681641
call,V262,2b,(a) Agent-Patient,Wendy was called by Bob.,Bob called Wendy.,-21.475051879882812,-33.25659942626953,11.781547546386719
calm,V309,2a,(b) Theme-Experiencer,Wendy was calmed by Bob.,Bob calmed Wendy.,-37.03444290161133,-39.49561309814453,2.461170196533203
capture,V154,2a,(a) Agent-Patient,Wendy was captured by Bob.,Bob captured Wendy.,-29.534408569335938,-35.03538513183594,5.5009765625
carry,V179,2a,(a) Agent-Patient,Wendy was carried by Bob.,Bob carried Wendy.,-30.107711791992188,-37.13338088989258,7.025669097900391
carve,V045,2a,(a) Agent-Patient,The wood was carved by Bob.,Bob carved the wood.,-27.484346389770508,-37.63669967651367,10.152353286743164
catch,V184,2a,(a) Agent-Patient,Wendy was caught by Bob.,Bob caught Wendy.,-28.56841468811035,-35.2994384765625,6.731023788452148
chant,V081,2a,(a) Agent-Patient,The prayer was chanted by Bob.,Bob chanted the prayer.,-26.00925064086914,-33.78116226196289,7.77191162109375
chase,V289,2a,(a) Agent-Patient,Wendy was chased by Bob.,Bob chased Wendy.,-25.034549713134766,-33.54967498779297,8.515125274658203
chat to,V265,2b,(a) Agent-Patient,Wendy was chatted to by Bob.,Bob chatted to Wendy.,-31.92054557800293,-40.23082733154297,8.310281753540039
cheer up,V310,2b,(b) Theme-Experiencer,Wendy was cheered up by Bob.,Bob cheered up Wendy.,-33.1369743347168,-38.38557815551758,5.248603820800781
chew,V109,2a,(a) Agent-Patient,The gum was chewed by Bob.,Bob chewed the gum.,-29.00027847290039,-38.597938537597656,9.597660064697266
chip,V126,2a,(a) Agent-Patient,The bowl was chipped by Bob.,Bob chipped the bowl.,-30.12512969970703,-41.430091857910156,11.304962158203125
chop,V046,2b,(a) Agent-Patient,The onion was chopped by Bob.,Bob chopped the onion.,-21.675376892089844,-36.33662414550781,14.661247253417969
choose,V185,2b,(a) Agent-Patient,Wendy was chosen by Bob.,Bob chose Wendy.,-26.055984497070312,-33.33378982543945,7.277805328369141
claw,V199,2a,(a) Agent-Patient,Wendy was clawed by Bob.,Bob clawed Wendy.,-33.64095687866211,-40.32546615600586,6.68450927734375
clean,V173,2a,(a) Agent-Patient,Wendy was cleaned by Bob.,Bob cleaned Wendy.,-30.01743507385254,-37.04301071166992,7.025575637817383
clear,V020,2b,(a) Agent-Patient,The room was cleared by Bob.,Bob cleared the room.,-18.70189094543457,-30.84938621520996,12.14749526977539
coil,V011,2b,(a) Agent-Patient,The leash was coiled by Bob.,Bob coiled the leash.,-34.14209747314453,-36.512332916259766,2.3702354431152344
comfort,V311,2b,(b) Theme-Experiencer,Wendy was comforted by Bob.,Bob comforted Wendy.,-30.554933547973633,-34.10408020019531,3.5491466522216797
commence,V148,2b,(a) Agent-Patient,The argument was commenced by Bob.,Bob commenced the argument.,-25.65436553955078,-39.71306610107422,14.058700561523438
complete,V153,2b,(a) Agent-Patient,The race was completed by Bob.,Bob completed the race.,-23.802181243896484,-36.019866943359375,12.21768569946289
compliment,V233,2b,(a) Agent-Patient,Wendy was complimented by Bob.,Bob complimented Wendy.,-29.039600372314453,-36.985923767089844,7.946323394775391
compose,V073,2a,(a) Agent-Patient,The song was composed by Bob.,Bob composed the song.,-20.64521598815918,-29.390371322631836,8.745155334472656
confirm,V413,2a,(d) Other Passivizable,The allegation was confirmed by Bob.,Bob confirmed the allegation.,-21.468219757080078,-31.756221771240234,10.288002014160156
congratulate,V234,2a,(a) Agent-Patient,Wendy was congratulated by Bob.,Bob congratulated Wendy.,-29.752845764160156,-34.72234344482422,4.9694976806640625
consume,V118,2a,(a) Agent-Patient,The snack was consumed by Bob.,Bob consumed the snack.,-28.223833084106445,-35.701786041259766,7.47795295715332
continue,V149,2a,(a) Agent-Patient,The conversation was continued by Bob.,Bob continued the conversation.,-17.863849639892578,-31.136564254760742,13.272714614868164
converse with,V266,2a,(a) Agent-Patient,Wendy was conversed with by Bob.,Bob conversed with Wendy.,-29.616365432739258,-47.80807113647461,18.19170570373535
cook,V139,2b,(a) Agent-Patient,The pizza was cooked by Bob.,Bob cooked the pizza.,-22.349567413330078,-32.981414794921875,10.631847381591797
cooperate with,V249,2a,(a) Agent-Patient,Wendy was cooperated with by Bob.,Bob cooperated with Wendy.,-31.145124435424805,-45.56532287597656,14.420198440551758
copy,V212,2b,(a) Agent-Patient,Wendy was copied by Bob.,Bob copied Wendy.,-32.11066436767578,-35.26130676269531,3.1506423950195312
court,V253,2a,(a) Agent-Patient,Wendy was courted by Bob.,Bob courted Wendy.,-30.512693405151367,-34.07992935180664,3.5672359466552734
cover,V168,2a,(a) Agent-Patient,Wendy was covered by Bob.,Bob covered Wendy.,-29.029958724975586,-34.77191162109375,5.741952896118164
crack,V127,2b,(a) Agent-Patient,The mirror was cracked by Bob.,Bob cracked the mirror.,-25.056198120117188,-39.46824264526367,14.412044525146484
crease,V134,2b,(a) Agent-Patient,The T-shirt was creased by Bob.,Bob creased the T-shirt.,-30.792747497558594,-44.56148147583008,13.768733978271484
create,V410,2b,(d) Other Passivizable,The theory was created by Bob.,Bob created the theory.,-23.94923973083496,-32.3188362121582,8.369596481323242
criticize,V241,2b,(a) Agent-Patient,Wendy was criticized by Bob.,Bob criticized Wendy.,-30.20326805114746,-35.889915466308594,5.686647415161133
crush,V157,2a,(a) Agent-Patient,Wendy was crushed by Bob.,Bob crushed Wendy.,-29.903961181640625,-35.34565734863281,5.4416961669921875
cuddle,V254,2b,(a) Agent-Patient,Wendy was cuddled by Bob.,Bob cuddled Wendy.,-37.60990524291992,-39.076866149902344,1.4669609069824219
cut,V210,2b,(a) Agent-Patient,Wendy was cut by Bob.,Bob cut Wendy.,-26.049358367919922,-34.29571533203125,8.246356964111328
dangle,V004,2a,(a) Agent-Patient,The string was dangled by Bob.,Bob dangled the string.,-28.60089874267578,-44.15935134887695,15.558452606201172
date,V255,2a,(a) Agent-Patient,Wendy was dated by Bob.,Bob dated Wendy.,-24.812599182128906,-45.28759765625,20.474998474121094
dazzle,V312,2a,(b) Theme-Experiencer,Wendy was dazzled by Bob.,Bob dazzled Wendy.,-35.436920166015625,-38.49247360229492,3.055553436279297
decorate,V067,2b,(a) Agent-Patient,The hall was decorated by Bob.,Bob decorated the hall.,-28.13288116455078,-33.92226028442383,5.789379119873047
delete,V019,2a,(a) Agent-Patient,The file was deleted by Bob.,Bob deleted the file.,-22.495710372924805,-31.769826889038086,9.274116516113281
demolish,V120,2b,(a) Agent-Patient,The stadium was demolished by Bob.,Bob demolished the stadium.,-23.23362922668457,-35.691986083984375,12.458356857299805
demonstrate,V414,2b,(d) Other Passivizable,The reasoning was demonstrated by Bob.,Bob demonstrated the reasoning.,-29.22476577758789,-40.24546813964844,11.020702362060547
depress,V313,2b,(b) Theme-Experiencer,Wendy was depressed by Bob.,Bob depressed Wendy.,-29.447547912597656,-40.86842727661133,11.420879364013672
desert,V287,2a,(a) Agent-Patient,Wendy was deserted by Bob.,Bob deserted Wendy.,-29.075607299804688,-37.536624908447266,8.461017608642578
design,V074,2b,(a) Agent-Patient,The cover was designed by Bob.,Bob designed the cover.,-21.183679580688477,-31.50859832763672,10.324918746948242
despise,V383,2b,(c) Experiencer-Theme,Wendy was despised by Bob.,Bob despised Wendy.,-27.26364517211914,-37.506649017333984,10.243003845214844
destroy,V121,2a,(a) Agent-Patient,The city was destroyed by Bob.,Bob destroyed the city.,-21.358413696289062,-39.21803665161133,17.859622955322266
detect,V394,2a,(c) Experiencer-Theme,The sound was detected by Bob.,Bob detected the sound.,-25.474308013916016,-36.335479736328125,10.86117172241211
detest,V384,2a,(c) Experiencer-Theme,Wendy was detested by Bob.,Bob detested Wendy.,-31.438961029052734,-40.66130447387695,9.222343444824219
devour,V119,2b,(a) Agent-Patient,The starter was devoured by Bob.,Bob devoured the starter.,-30.3883113861084,-46.123870849609375,15.735559463500977
direct,V082,2b,(a) Agent-Patient,The video was directed by Bob.,Bob directed the video.,-24.795223236083984,-30.347719192504883,5.552495956420898
disagree with,V250,2b,(a) Agent-Patient,Wendy was disagreed with by Bob.,Bob disagreed with Wendy.,-26.68671989440918,-42.43473434448242,15.748014450073242
discover,V354,2b,(c) Experiencer-Theme,Wendy was discovered by Bob.,Bob discovered Wendy.,-27.594240188598633,-35.41697311401367,7.822732925415039
disgust,V314,2b,(b) Theme-Experiencer,Wendy was disgusted by Bob.,Bob disgusted Wendy.,-30.783618927001953,-36.41498565673828,5.631366729736328
dislike,V385,2b,(c) Experiencer-Theme,Wendy was disliked by Bob.,Bob disliked Wendy.,-26.807994842529297,-37.96736526489258,11.159370422363281
dispatch,V275,2b,(a) Agent-Patient,Wendy was dispatched by Bob.,Bob dispatched Wendy.,-30.144071578979492,-36.128387451171875,5.984315872192383
distract,V315,2a,(b) Theme-Experiencer,Wendy was distracted by Bob.,Bob distracted Wendy.,-26.334144592285156,-34.690120697021484,8.355976104736328
distrust,V386,2a,(c) Experiencer-Theme,Wendy was distrusted by Bob.,Bob distrusted Wendy.,-35.74510955810547,-38.83424377441406,3.0891342163085938
disturb,V316,2b,(b) Theme-Experiencer,Wendy was disturbed by Bob.,Bob disturbed Wendy.,-28.843008041381836,-36.46707534790039,7.624067306518555
divide,V056,2b,(a) Agent-Patient,The pudding was divided by Bob.,Bob divided the pudding.,-34.100120544433594,-44.637939453125,10.537818908691406
divorce,V232,2a,(a) Agent-Patient,Wendy was divorced by Bob.,Bob divorced Wendy.,-28.581159591674805,-37.35388946533203,8.772729873657227
dodge,V224,2a,(a) Agent-Patient,Wendy was dodged by Bob.,Bob dodged Wendy.,-31.203001022338867,-38.02948760986328,6.826486587524414
drag,V180,2b,(a) Agent-Patient,Wendy was dragged by Bob.,Bob dragged Wendy.,-31.69305419921875,-37.29213333129883,5.599079132080078
drink,V108,2a,(a) Agent-Patient,The tea was drunk by Bob.,Bob drank the tea.,-22.30992317199707,-38.63617706298828,16.32625389099121
dread,V387,2b,(c) Experiencer-Theme,Wendy was dreaded by Bob.,Bob dreaded Wendy.,-30.461915969848633,-40.63865661621094,10.176740646362305
dress,V273,2a,(a) Agent-Patient,Wendy was dressed by Bob.,Bob dressed Wendy.,-26.487438201904297,-39.07626724243164,12.588829040527344
draw,V063,2b,(a) Agent-Patient,The cat was drawn by Bob.,Bob drew the cat.,-23.786691665649414,-34.400089263916016,10.613397598266602
drop,V158,2a,(a) Agent-Patient,Wendy was dropped by Bob.,Bob dropped Wendy.,-28.72964096069336,-33.82139587402344,5.091754913330078
drive,V030,2b,(a) Agent-Patient,The car was driven by Bob.,Bob drove the car.,-20.881690979003906,-25.982318878173828,5.100627899169922
drown,V281,2b,(a) Agent-Patient,Wendy was drowned by Bob.,Bob drowned Wendy.,-31.6986083984375,-39.572608947753906,7.874000549316406
dump,V005,2b,(a) Agent-Patient,The waste was dumped by Bob.,Bob dumped the waste.,-28.378339767456055,-36.2261848449707,7.847845077514648
earn,V034,2a,(a) Agent-Patient,The bonus was earned by Bob.,Bob earned the bonus.,-24.811664581298828,-30.659828186035156,5.848163604736328
eliminate,V276,2a,(a) Agent-Patient,Wendy was eliminated by Bob.,Bob eliminated Wendy.,-30.10025978088379,-38.45130920410156,8.351049423217773
elude,V225,2b,(a) Agent-Patient,Wendy was eluded by Bob.,Bob eluded Wendy.,-31.869155883789062,-45.0224494934082,13.15329360961914
embarass,V317,2a,(b) Theme-Experiencer,Wendy was embarassed by Bob.,Bob embarassed Wendy.,-38.75154495239258,-40.37910461425781,1.6275596618652344
embrace,V256,2a,(a) Agent-Patient,Wendy was embraced by Bob.,Bob embraced Wendy.,-28.62200164794922,-34.868595123291016,6.246593475341797
empty,V021,2a,(a) Agent-Patient,The glass was emptied by Bob.,Bob emptied the glass.,-24.821693420410156,-38.69192886352539,13.870235443115234
encourage,V318,2b,(b) Theme-Experiencer,Wendy was encouraged by Bob.,Bob encouraged Wendy.,-29.91560173034668,-34.613311767578125,4.697710037231445
end,V150,2b,(a) Agent-Patient,The discussion was ended by Bob.,Bob ended the discussion.,-21.79507827758789,-33.438751220703125,11.643672943115234
enrage,V319,2a,(b) Theme-Experiencer,Wendy was enraged by Bob.,Bob enraged Wendy.,-29.346031188964844,-36.55977249145508,7.213741302490234
entertain,V320,2b,(b) Theme-Experiencer,Wendy was entertained by Bob.,Bob entertained Wendy.,-28.005107879638672,-33.25157928466797,5.246471405029297
envy,V388,2b,(c) Experiencer-Theme,Wendy was envied by Bob.,Bob envied Wendy.,-34.23772048950195,-38.4750862121582,4.23736572265625
escort,V297,2a,(a) Agent-Patient,Wendy was escorted by Bob.,Bob escorted Wendy.,-30.37805938720703,-35.22280502319336,4.844745635986328
examine,V355,2a,(c) Experiencer-Theme,Wendy was examined by Bob.,Bob examined Wendy.,-29.797128677368164,-38.01399612426758,8.216867446899414
excuse,V235,2b,(a) Agent-Patient,Wendy was excused by Bob.,Bob excused Wendy.,-32.946929931640625,-37.682456970214844,4.735527038574219
execute,V277,2b,(a) Agent-Patient,Wendy was executed by Bob.,Bob executed Wendy.,-29.331588745117188,-36.92808532714844,7.59649658203125
expel,V172,2b,(a) Agent-Patient,Wendy was expelled by Bob.,Bob expelled Wendy.,-29.096965789794922,-38.563541412353516,9.466575622558594
explain,V415,2a,(d) Other Passivizable,The problem was explained by Bob.,Bob explained the problem.,-19.632282257080078,-32.81992721557617,13.187644958496094
exterminate,V122,2b,(a) Agent-Patient,The spider was exterminated by Bob.,Bob exterminated the spider.,-31.557523727416992,-38.95237731933594,7.394853591918945
fascinate,V321,2a,(b) Theme-Experiencer,Wendy was fascinated by Bob.,Bob fascinated Wendy.,-28.99292755126953,-33.39299011230469,4.400062561035156
fear,V389,2a,(c) Experiencer-Theme,Wendy was feared by Bob.,Bob feared Wendy.,-32.67939376831055,-38.84987258911133,6.170478820800781
