Verb,Vno,Set,VtypeNEW,passive,active,active_score,passive_score,pass_drop
register,V439,1a,(e) Non-Passivizable,80Kg was registered by the scales.,The scales registered 80kg.,-44.204490661621094,-55.84437561035156,11.639884948730469
register,V439,1b,(e) Non-Passivizable,80Kg was registered by the scales.,The scales registered 80kg.,-44.204490661621094,-55.84437561035156,11.639884948730469
be,V459,2a,(e) Non-Passivizable,A father was been by Bob.,Bob was a father.,-16.522098541259766,-46.57392501831055,30.05182647705078
be,V459,2b,(e) Non-Passivizable,A father was been by Bob.,Bob was a father.,-16.522098541259766,-46.57392501831055,30.05182647705078
be,V459,1a,(e) Non-Passivizable,A father was been by Homer.,Homer was a father.,-24.775014877319336,-53.19355392456055,28.41853904724121
lack,V456,2a,(e) Non-Passivizable,A garden was lacked by the cottate.,The cottage lacked a garden.,-37.521728515625,-56.889427185058594,19.367698669433594
lack,V456,2b,(e) Non-Passivizable,A garden was lacked by the cottate.,The cottage lacked a garden.,-37.521728515625,-56.889427185058594,19.367698669433594
"carry (i.e., hold a certain number of people)",V445,2a,(e) Non-Passivizable,A heavy fine was carried by the crime.,The crime carried a heavy fine.,-36.87853240966797,-44.53360366821289,7.655071258544922
"carry (i.e., hold a certain number of people)",V445,2b,(e) Non-Passivizable,A heavy fine was carried by the crime.,The crime carried a heavy fine.,-36.87853240966797,-44.53360366821289,7.655071258544922
be,V459,1b,(e) Non-Passivizable,A mother was been by Marge.,Marge was a mother.,-31.282791137695312,-53.57477569580078,22.29198455810547
weigh,V441,1a,(e) Non-Passivizable,A tonne was weighed by the horse.,The horse weighed a tonne.,-30.740554809570312,-43.83386993408203,13.093315124511719
weigh,V441,1b,(e) Non-Passivizable,A tonne was weighed by the horse.,The horse weighed a tonne.,-30.740554809570312,-43.83386993408203,13.093315124511719
"take (i.e., carry on for a certiain length of time)",V444,1a,(e) Non-Passivizable,An afternoon was taken by the lesson.,The lesson took an afternoon.,-35.64138412475586,-41.18571472167969,5.544330596923828
"take (i.e., carry on for a certiain length of time)",V444,1b,(e) Non-Passivizable,An afternoon was taken by the lesson.,The lesson took an afternoon.,-35.64138412475586,-41.18571472167969,5.544330596923828
last,V443,1a,(e) Non-Passivizable,An hour was lasted by the film.,The film lasted an hour.,-24.044452667236328,-42.66734313964844,18.62289047241211
last,V443,1b,(e) Non-Passivizable,An hour was lasted by the film.,The film lasted an hour.,-24.044452667236328,-42.66734313964844,18.62289047241211
"take (i.e., carry on for a certiain length of time)",V444,2a,(e) Non-Passivizable,An hour was taken by the meal.,The meal took an hour.,-24.943567276000977,-36.73507308959961,11.791505813598633
"take (i.e., carry on for a certiain length of time)",V444,2b,(e) Non-Passivizable,An hour was taken by the meal.,The meal took an hour.,-24.943567276000977,-36.73507308959961,11.791505813598633
spew,V470,2a,(e) Non-Passivizable,Ash was spewed by the volcano.,The volcano spewed ash.,-25.981260299682617,-34.24012756347656,8.258867263793945
spew,V470,2b,(e) Non-Passivizable,Ash was spewed by the volcano.,The volcano spewed ash.,-25.981260299682617,-34.24012756347656,8.258867263793945
gush,V465,1a,(e) Non-Passivizable,Blood was gushed by the wound.,The wound gushed blood.,-33.7501106262207,-31.47766876220703,-2.272441864013672
gush,V465,1b,(e) Non-Passivizable,Blood was gushed by the wound.,The wound gushed blood.,-33.7501106262207,-31.47766876220703,-2.272441864013672
stream,V474,1a,(e) Non-Passivizable,Blood was streamed by the cut.,The cut streamed blood.,-42.44485855102539,-37.10962677001953,-5.335231781005859
stream,V474,1b,(e) Non-Passivizable,Blood was streamed by the cut.,The cut streamed blood.,-42.44485855102539,-37.10962677001953,-5.335231781005859
sweat,V475,2a,(e) Non-Passivizable,Blood was sweated by the workman.,The workman sweated blood.,-42.26156234741211,-44.2296028137207,1.9680404663085938
sweat,V475,2b,(e) Non-Passivizable,Blood was sweated by the workman.,The workman sweated blood.,-42.26156234741211,-44.2296028137207,1.9680404663085938
abandon,V286,2b,(a) Agent-Patient,Wendy was abandonned by Bob.,Bob abandonned Wendy.,-39.5152587890625,-50.70851135253906,11.193252563476562
accept,V401,2b,(d) Other Passivizable,The present was accepted by Bob.,Bob accepted the present.,-21.515037536621094,-41.09782791137695,19.58279037475586
accompany,V296,2b,(a) Agent-Patient,Wendy was accompanied by Bob.,Bob accompanied Wendy.,-22.377727508544922,-32.362701416015625,9.984973907470703
admire,V346,2b,(c) Experiencer-Theme,Wendy was admired by Bob.,Bob admired Wendy.,-23.122575759887695,-39.88542556762695,16.762849807739258
adore,V347,2a,(c) Experiencer-Theme,Wendy was adored by Bob.,Bob adored Wendy.,-27.352516174316406,-38.937095642089844,11.584579467773438
advise,V268,2b,(a) Agent-Patient,Wendy was advised by Bob.,Bob advised Wendy.,-23.681533813476562,-35.718772888183594,12.037239074707031
aggravate,V302,2a,(b) Theme-Experiencer,Wendy was aggravated by Bob.,Bob aggravated Wendy.,-31.00971031188965,-43.05253601074219,12.042825698852539
agree with,V247,2a,(a) Agent-Patient,Wendy was agreed with by Bob.,Bob agreed with Wendy.,-22.49911880493164,-40.76740646362305,18.268287658691406
alter,V080,2b,(a) Agent-Patient,The plan was altered by Bob.,Bob altered the plan.,-22.300647735595703,-36.217689514160156,13.917041778564453
amaze,V303,2b,(b) Theme-Experiencer,Wendy was amazed by Bob.,Bob amazed Wendy.,-23.116130828857422,-36.9702033996582,13.854072570800781
amuse,V304,2a,(b) Theme-Experiencer,Wendy was amused by Bob.,Bob amused Wendy.,-24.983413696289062,-35.728302001953125,10.744888305664062
anger,V305,2b,(b) Theme-Experiencer,Wendy was angered by Bob.,Bob angered Wendy.,-21.107746124267578,-37.24250030517578,16.134754180908203
announce,V103,2a,(a) Agent-Patient,The date was announced by Bob.,Bob announced the date.,-19.0738525390625,-32.76661682128906,13.692764282226562
annoy,V306,2a,(b) Theme-Experiencer,Wendy was annoyed by Bob.,Bob annoyed Wendy.,-20.90819549560547,-36.032466888427734,15.124271392822266
appluad,V220,2a,(a) Agent-Patient,Wendy was appluaded by Bob.,Bob appluaded Wendy.,-52.093040466308594,-59.9902458190918,7.897205352783203
appreciate,V370,2b,(c) Experiencer-Theme,Wendy was appreciated by Bob.,Bob appreciated Wendy.,-23.39651870727539,-36.06758499145508,12.671066284179688
argue with,V248,2b,(a) Agent-Patient,Wendy was argued with by Bob.,Bob argued with Wendy.,-26.371654510498047,-42.497406005859375,16.125751495361328
arrange,V001,2b,(a) Agent-Patient,The display was arranged by Bob.,Bob arranged the display.,-26.29299545288086,-36.054290771484375,9.761295318603516
ask,V088,2b,(a) Agent-Patient,The question was asked by Bob.,Bob asked the question.,-15.956314086914062,-30.46540069580078,14.509086608886719
assassinate,V228,2a,(a) Agent-Patient,Wendy was assassinated by Bob.,Bob assassinated Wendy.,-26.300291061401367,-36.71753692626953,10.417245864868164
assert,V412,2b,(d) Other Passivizable,The argument was asserted by Bob.,Bob asserted the argument.,-26.497705459594727,-38.41543960571289,11.917734146118164
astonish,V307,2b,(b) Theme-Experiencer,Wendy was astonished by Bob.,Bob astonished Wendy.,-25.188438415527344,-38.59745407104492,13.409015655517578
eat,V156,2b,(a) Agent-Patient,Wendy was eaten by Bob.,Bob ate Wendy.,-23.02130889892578,-36.135955810546875,13.114646911621094
avoid,V223,2b,(a) Agent-Patient,Wendy was avoided by Bob.,Bob avoided Wendy.,-27.433631896972656,-39.59370040893555,12.16006851196289
bake,V137,2b,(a) Agent-Patient,The bread was baked by Bob.,Bob baked the bread.,-22.76481819152832,-34.480194091796875,11.715375900268555
banish,V229,2a,(a) Agent-Patient,Wendy was banished by Bob.,Bob banished Wendy.,-23.87771987915039,-37.67219543457031,13.794475555419922
bark,V093,2a,(a) Agent-Patient,The reply was barked by Bob.,Bob barked the reply.,-29.613941192626953,-39.38365173339844,9.769710540771484
beat,V077,2a,(a) Agent-Patient,The batter was beaten by Bob.,Bob beat the batter.,-23.44935417175293,-42.89483642578125,19.44548225402832
begin,V147,2a,(a) Agent-Patient,The story was begun by Bob.,Bob began the story.,-18.773906707763672,-32.11116027832031,13.33725357055664
believe,V371,2b,(c) Experiencer-Theme,Wendy was believed by Bob.,Bob believed Wendy.,-25.449281692504883,-42.435115814208984,16.9858341217041
bend,V135,2a,(a) Agent-Patient,The branch was bent by Bob.,Bob bent the branch.,-27.2637939453125,-40.01206970214844,12.748275756835938
bite,V198,2b,(a) Agent-Patient,Wendy was bitten by Bob.,Bob bit Wendy.,-25.38998794555664,-33.37782287597656,7.987834930419922
block,V043,2a,(a) Agent-Patient,The pipe was blocked by Bob.,Bob blocked the pipe.,-23.514476776123047,-36.130836486816406,12.61635971069336
boil,V138,2a,(a) Agent-Patient,The water was boiled by Bob.,Bob boiled the water.,-23.933176040649414,-37.641727447509766,13.708551406860352
borrow,V035,2b,(a) Agent-Patient,The game was borrowed by Bob.,Bob borrowed the game.,-24.63119125366211,-34.04092025756836,9.40972900390625
bother,V308,2b,(b) Theme-Experiencer,Wendy was bothered by Bob.,Bob bothered Wendy.,-23.00042152404785,-37.02507019042969,14.024648666381836
buy,V033,2b,(a) Agent-Patient,The book was bought by Bob.,Bob bought the book.,-17.938447952270508,-30.570362091064453,12.631914138793945
bounce,V028,2b,(a) Agent-Patient,The football was bounced by Bob.,Bob bounced the football.,-26.864072799682617,-45.67118835449219,18.80711555480957
break,V125,2b,(a) Agent-Patient,The plate was broken by Bob.,Bob broke the plate.,-24.913028717041016,-33.773529052734375,8.86050033569336
bring,V029,2a,(a) Agent-Patient,The food was brought by Bob.,Bob brought the food.,-22.068023681640625,-35.78230667114258,13.714282989501953
build,V068,2a,(a) Agent-Patient,The castle was built by Bob.,Bob built the castle.,-22.24361801147461,-30.65608787536621,8.412469863891602
burn,V143,2b,(a) Agent-Patient,The toast was burnt by Bob.,Bob burnt the toast.,-24.691883087158203,-37.806583404541016,13.114700317382812
butter,V015,2a,(a) Agent-Patient,The toast was buttered by Bob.,Bob buttered the toast.,-32.922237396240234,-40.78859329223633,7.866355895996094
button,V049,2a,(a) Agent-Patient,The coat was buttoned by Bob.,Bob buttoned the coat.,-29.976680755615234,-39.73820114135742,9.761520385742188
call,V262,2b,(a) Agent-Patient,Wendy was called by Bob.,Bob called Wendy.,-20.393280029296875,-33.66969299316406,13.276412963867188
calm,V309,2a,(b) Theme-Experiencer,Wendy was calmed by Bob.,Bob calmed Wendy.,-25.87670135498047,-35.2008056640625,9.324104309082031
capture,V154,2a,(a) Agent-Patient,Wendy was captured by Bob.,Bob captured Wendy.,-25.053068161010742,-33.282257080078125,8.229188919067383
carry,V179,2a,(a) Agent-Patient,Wendy was carried by Bob.,Bob carried Wendy.,-26.039812088012695,-35.91310501098633,9.873292922973633
carve,V045,2a,(a) Agent-Patient,The wood was carved by Bob.,Bob carved the wood.,-24.225038528442383,-35.86509704589844,11.640058517456055
catch,V184,2a,(a) Agent-Patient,Wendy was caught by Bob.,Bob caught Wendy.,-23.38701057434082,-34.86268615722656,11.475675582885742
chant,V081,2a,(a) Agent-Patient,The prayer was chanted by Bob.,Bob chanted the prayer.,-27.78112030029297,-39.20237731933594,11.421257019042969
chase,V289,2a,(a) Agent-Patient,Wendy was chased by Bob.,Bob chased Wendy.,-23.129924774169922,-34.21489715576172,11.084972381591797
chat to,V265,2b,(a) Agent-Patient,Wendy was chatted to by Bob.,Bob chatted to Wendy.,-27.23830223083496,-45.16679000854492,17.92848777770996
cheer up,V310,2b,(b) Theme-Experiencer,Wendy was cheered up by Bob.,Bob cheered up Wendy.,-34.431358337402344,-47.284751892089844,12.8533935546875
chew,V109,2a,(a) Agent-Patient,The gum was chewed by Bob.,Bob chewed the gum.,-23.981189727783203,-36.93745040893555,12.956260681152344
chip,V126,2a,(a) Agent-Patient,The bowl was chipped by Bob.,Bob chipped the bowl.,-27.846179962158203,-41.18585205078125,13.339672088623047
chop,V046,2b,(a) Agent-Patient,The onion was chopped by Bob.,Bob chopped the onion.,-19.861492156982422,-37.86194610595703,18.00045394897461
choose,V185,2b,(a) Agent-Patient,Wendy was chosen by Bob.,Bob chose Wendy.,-22.368858337402344,-35.78682327270508,13.417964935302734
claw,V199,2a,(a) Agent-Patient,Wendy was clawed by Bob.,Bob clawed Wendy.,-28.74950408935547,-42.205596923828125,13.456092834472656
clean,V173,2a,(a) Agent-Patient,Wendy was cleaned by Bob.,Bob cleaned Wendy.,-28.824182510375977,-38.08866500854492,9.264482498168945
clear,V020,2b,(a) Agent-Patient,The room was cleared by Bob.,Bob cleared the room.,-19.480106353759766,-32.18395233154297,12.703845977783203
coil,V011,2b,(a) Agent-Patient,The leash was coiled by Bob.,Bob coiled the leash.,-38.47323226928711,-41.90177536010742,3.4285430908203125
comfort,V311,2b,(b) Theme-Experiencer,Wendy was comforted by Bob.,Bob comforted Wendy.,-26.93168830871582,-35.15036392211914,8.21867561340332
commence,V148,2b,(a) Agent-Patient,The argument was commenced by Bob.,Bob commenced the argument.,-23.47785186767578,-38.317970275878906,14.840118408203125
complete,V153,2b,(a) Agent-Patient,The race was completed by Bob.,Bob completed the race.,-21.234912872314453,-34.506629943847656,13.271717071533203
compliment,V233,2b,(a) Agent-Patient,Wendy was complimented by Bob.,Bob complimented Wendy.,-25.20173454284668,-37.41780471801758,12.216070175170898
compose,V073,2a,(a) Agent-Patient,The song was composed by Bob.,Bob composed the song.,-21.639450073242188,-28.045429229736328,6.405979156494141
confirm,V413,2a,(d) Other Passivizable,The allegation was confirmed by Bob.,Bob confirmed the allegation.,-20.389751434326172,-33.06366729736328,12.67391586303711
congratulate,V234,2a,(a) Agent-Patient,Wendy was congratulated by Bob.,Bob congratulated Wendy.,-24.6002197265625,-36.00185012817383,11.401630401611328
consume,V118,2a,(a) Agent-Patient,The snack was consumed by Bob.,Bob consumed the snack.,-24.347257614135742,-36.73257827758789,12.385320663452148
continue,V149,2a,(a) Agent-Patient,The conversation was continued by Bob.,Bob continued the conversation.,-16.475542068481445,-30.201379776000977,13.725837707519531
converse with,V266,2a,(a) Agent-Patient,Wendy was conversed with by Bob.,Bob conversed with Wendy.,-24.7552547454834,-49.185096740722656,24.429841995239258
cook,V139,2b,(a) Agent-Patient,The pizza was cooked by Bob.,Bob cooked the pizza.,-20.386714935302734,-34.080055236816406,13.693340301513672
cooperate with,V249,2a,(a) Agent-Patient,Wendy was cooperated with by Bob.,Bob cooperated with Wendy.,-23.90962028503418,-48.43279266357422,24.52317237854004
copy,V212,2b,(a) Agent-Patient,Wendy was copied by Bob.,Bob copied Wendy.,-27.408363342285156,-36.170188903808594,8.761825561523438
court,V253,2a,(a) Agent-Patient,Wendy was courted by Bob.,Bob courted Wendy.,-23.48797607421875,-34.55122375488281,11.063247680664062
cover,V168,2a,(a) Agent-Patient,Wendy was covered by Bob.,Bob covered Wendy.,-25.254487991333008,-35.54698181152344,10.29249382019043
crack,V127,2b,(a) Agent-Patient,The mirror was cracked by Bob.,Bob cracked the mirror.,-24.881311416625977,-37.88005447387695,12.998743057250977
crease,V134,2b,(a) Agent-Patient,The T-shirt was creased by Bob.,Bob creased the T-shirt.,-30.454023361206055,-46.52583312988281,16.071809768676758
create,V410,2b,(d) Other Passivizable,The theory was created by Bob.,Bob created the theory.,-23.723346710205078,-30.53378677368164,6.8104400634765625
criticize,V241,2b,(a) Agent-Patient,Wendy was criticized by Bob.,Bob criticized Wendy.,-24.50385284423828,-36.472328186035156,11.968475341796875
crush,V157,2a,(a) Agent-Patient,Wendy was crushed by Bob.,Bob crushed Wendy.,-26.805822372436523,-34.07274627685547,7.266923904418945
cuddle,V254,2b,(a) Agent-Patient,Wendy was cuddled by Bob.,Bob cuddled Wendy.,-29.818523406982422,-37.871185302734375,8.052661895751953
cut,V210,2b,(a) Agent-Patient,Wendy was cut by Bob.,Bob cut Wendy.,-24.849842071533203,-34.70749282836914,9.857650756835938
dangle,V004,2a,(a) Agent-Patient,The string was dangled by Bob.,Bob dangled the string.,-28.435009002685547,-44.27619552612305,15.8411865234375
date,V255,2a,(a) Agent-Patient,Wendy was dated by Bob.,Bob dated Wendy.,-25.017274856567383,-43.77052307128906,18.75324821472168
dazzle,V312,2a,(b) Theme-Experiencer,Wendy was dazzled by Bob.,Bob dazzled Wendy.,-30.133750915527344,-38.60955047607422,8.475799560546875
decorate,V067,2b,(a) Agent-Patient,The hall was decorated by Bob.,Bob decorated the hall.,-24.173686981201172,-34.26789474487305,10.094207763671875
delete,V019,2a,(a) Agent-Patient,The file was deleted by Bob.,Bob deleted the file.,-21.60555648803711,-29.55014419555664,7.944587707519531
demolish,V120,2b,(a) Agent-Patient,The stadium was demolished by Bob.,Bob demolished the stadium.,-21.63807487487793,-37.720970153808594,16.082895278930664
demonstrate,V414,2b,(d) Other Passivizable,The reasoning was demonstrated by Bob.,Bob demonstrated the reasoning.,-25.595325469970703,-37.63534164428711,12.040016174316406
depress,V313,2b,(b) Theme-Experiencer,Wendy was depressed by Bob.,Bob depressed Wendy.,-22.82695770263672,-38.56304168701172,15.736083984375
desert,V287,2a,(a) Agent-Patient,Wendy was deserted by Bob.,Bob deserted Wendy.,-27.172794342041016,-37.938514709472656,10.76572036743164
design,V074,2b,(a) Agent-Patient,The cover was designed by Bob.,Bob designed the cover.,-21.627281188964844,-31.677059173583984,10.04977798461914
despise,V383,2b,(c) Experiencer-Theme,Wendy was despised by Bob.,Bob despised Wendy.,-22.803579330444336,-40.86175537109375,18.058176040649414
destroy,V121,2a,(a) Agent-Patient,The city was destroyed by Bob.,Bob destroyed the city.,-21.93930435180664,-35.28184127807617,13.342536926269531
detect,V394,2a,(c) Experiencer-Theme,The sound was detected by Bob.,Bob detected the sound.,-23.797622680664062,-37.45333480834961,13.655712127685547
detest,V384,2a,(c) Experiencer-Theme,Wendy was detested by Bob.,Bob detested Wendy.,-28.402353286743164,-41.968727111816406,13.566373825073242
devour,V119,2b,(a) Agent-Patient,The starter was devoured by Bob.,Bob devoured the starter.,-32.9361457824707,-40.940948486328125,8.004802703857422
direct,V082,2b,(a) Agent-Patient,The video was directed by Bob.,Bob directed the video.,-24.91084861755371,-29.10205841064453,4.19120979309082
disagree with,V250,2b,(a) Agent-Patient,Wendy was disagreed with by Bob.,Bob disagreed with Wendy.,-22.775333404541016,-40.5406379699707,17.765304565429688
discover,V354,2b,(c) Experiencer-Theme,Wendy was discovered by Bob.,Bob discovered Wendy.,-23.310070037841797,-34.191715240478516,10.881645202636719
disgust,V314,2b,(b) Theme-Experiencer,Wendy was disgusted by Bob.,Bob disgusted Wendy.,-24.168041229248047,-35.82750701904297,11.659465789794922
dislike,V385,2b,(c) Experiencer-Theme,Wendy was disliked by Bob.,Bob disliked Wendy.,-20.910585403442383,-39.96706771850586,19.056482315063477
dispatch,V275,2b,(a) Agent-Patient,Wendy was dispatched by Bob.,Bob dispatched Wendy.,-24.82308578491211,-34.84767532348633,10.024589538574219
distract,V315,2a,(b) Theme-Experiencer,Wendy was distracted by Bob.,Bob distracted Wendy.,-25.490291595458984,-35.29215621948242,9.801864624023438
distrust,V386,2a,(c) Experiencer-Theme,Wendy was distrusted by Bob.,Bob distrusted Wendy.,-26.96768569946289,-41.087589263916016,14.119903564453125
disturb,V316,2b,(b) Theme-Experiencer,Wendy was disturbed by Bob.,Bob disturbed Wendy.,-24.0391902923584,-36.60032272338867,12.561132431030273
divide,V056,2b,(a) Agent-Patient,The pudding was divided by Bob.,Bob divided the pudding.,-31.86826515197754,-45.758514404296875,13.890249252319336
divorce,V232,2a,(a) Agent-Patient,Wendy was divorced by Bob.,Bob divorced Wendy.,-23.519916534423828,-36.26176452636719,12.74184799194336
dodge,V224,2a,(a) Agent-Patient,Wendy was dodged by Bob.,Bob dodged Wendy.,-27.073028564453125,-38.80308532714844,11.730056762695312
drag,V180,2b,(a) Agent-Patient,Wendy was dragged by Bob.,Bob dragged Wendy.,-25.175006866455078,-39.538150787353516,14.363143920898438
drink,V108,2a,(a) Agent-Patient,The tea was drunk by Bob.,Bob drank the tea.,-21.298355102539062,-38.4140625,17.115707397460938
dread,V387,2b,(c) Experiencer-Theme,Wendy was dreaded by Bob.,Bob dreaded Wendy.,-25.53015899658203,-42.315364837646484,16.785205841064453
dress,V273,2a,(a) Agent-Patient,Wendy was dressed by Bob.,Bob dressed Wendy.,-28.107553482055664,-38.62651062011719,10.518957138061523
draw,V063,2b,(a) Agent-Patient,The cat was drawn by Bob.,Bob drew the cat.,-23.506187438964844,-33.69253921508789,10.186351776123047
drop,V158,2a,(a) Agent-Patient,Wendy was dropped by Bob.,Bob dropped Wendy.,-22.15452003479004,-35.68760299682617,13.533082962036133
drive,V030,2b,(a) Agent-Patient,The car was driven by Bob.,Bob drove the car.,-19.58405876159668,-26.466522216796875,6.882463455200195
drown,V281,2b,(a) Agent-Patient,Wendy was drowned by Bob.,Bob drowned Wendy.,-29.462440490722656,-38.85145568847656,9.389015197753906
dump,V005,2b,(a) Agent-Patient,The waste was dumped by Bob.,Bob dumped the waste.,-27.25992202758789,-36.84054183959961,9.580619812011719
earn,V034,2a,(a) Agent-Patient,The bonus was earned by Bob.,Bob earned the bonus.,-25.331748962402344,-35.895652770996094,10.56390380859375
eliminate,V276,2a,(a) Agent-Patient,Wendy was eliminated by Bob.,Bob eliminated Wendy.,-24.713516235351562,-37.79823303222656,13.084716796875
elude,V225,2b,(a) Agent-Patient,Wendy was eluded by Bob.,Bob eluded Wendy.,-28.528562545776367,-44.72392654418945,16.195363998413086
embarass,V317,2a,(b) Theme-Experiencer,Wendy was embarassed by Bob.,Bob embarassed Wendy.,-30.67491912841797,-43.74860763549805,13.073688507080078
embrace,V256,2a,(a) Agent-Patient,Wendy was embraced by Bob.,Bob embraced Wendy.,-22.069690704345703,-38.936344146728516,16.866653442382812
empty,V021,2a,(a) Agent-Patient,The glass was emptied by Bob.,Bob emptied the glass.,-25.304672241210938,-36.86773681640625,11.563064575195312
encourage,V318,2b,(b) Theme-Experiencer,Wendy was encouraged by Bob.,Bob encouraged Wendy.,-25.151058197021484,-33.773292541503906,8.622234344482422
end,V150,2b,(a) Agent-Patient,The discussion was ended by Bob.,Bob ended the discussion.,-19.9992618560791,-30.78600311279297,10.786741256713867
enrage,V319,2a,(b) Theme-Experiencer,Wendy was enraged by Bob.,Bob enraged Wendy.,-23.961776733398438,-36.40498352050781,12.443206787109375
entertain,V320,2b,(b) Theme-Experiencer,Wendy was entertained by Bob.,Bob entertained Wendy.,-21.835018157958984,-37.04526138305664,15.210243225097656
envy,V388,2b,(c) Experiencer-Theme,Wendy was envied by Bob.,Bob envied Wendy.,-31.493093490600586,-40.58671951293945,9.093626022338867
escort,V297,2a,(a) Agent-Patient,Wendy was escorted by Bob.,Bob escorted Wendy.,-25.360673904418945,-36.483272552490234,11.122598648071289
examine,V355,2a,(c) Experiencer-Theme,Wendy was examined by Bob.,Bob examined Wendy.,-22.839569091796875,-35.84133529663086,13.001766204833984
excuse,V235,2b,(a) Agent-Patient,Wendy was excused by Bob.,Bob excused Wendy.,-27.721328735351562,-36.327693939208984,8.606365203857422
execute,V277,2b,(a) Agent-Patient,Wendy was executed by Bob.,Bob executed Wendy.,-23.652080535888672,-34.70762634277344,11.055545806884766
expel,V172,2b,(a) Agent-Patient,Wendy was expelled by Bob.,Bob expelled Wendy.,-24.492570877075195,-37.70640563964844,13.213834762573242
explain,V415,2a,(d) Other Passivizable,The problem was explained by Bob.,Bob explained the problem.,-18.571043014526367,-31.757915496826172,13.186872482299805
exterminate,V122,2b,(a) Agent-Patient,The spider was exterminated by Bob.,Bob exterminated the spider.,-27.995437622070312,-42.462703704833984,14.467266082763672
fascinate,V321,2a,(b) Theme-Experiencer,Wendy was fascinated by Bob.,Bob fascinated Wendy.,-22.887548446655273,-35.26422882080078,12.376680374145508
fear,V389,2a,(c) Experiencer-Theme,Wendy was feared by Bob.,Bob feared Wendy.,-27.84789276123047,-41.020198822021484,13.172306060791016
